,0
0,100.0
1,86.98115344375242
2,78.90356069761394
3,69.90191186599368
4,68.08343033298846
5,67.25002005547391
6,67.1296498538856
7,66.91699021202834
8,66.0567236244227
9,65.74333681684003
10,69.95030458108154
11,63.17729213650077
12,66.9635932506911
13,66.3164368868347
14,65.89427270738753
15,67.32401698378445
16,61.96686931071349
17,65.34627166921355
18,65.3099209474622
19,65.24531406973502
20,65.10814034586859
21,64.63145307163911
22,56.09309205892819
23,57.47000536889028
24,56.867309063516714
25,59.87847535565523
26,50.26854885998243
27,42.743834290667856
28,34.62529915159275
29,34.25900788162758
30,30.677855774667393
31,35.407858723393794
32,37.70984976714699
33,36.99616287979158
34,39.891570538365166
35,41.41798835019257
36,39.414568282716395
37,39.13813537225408
