,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2,0.39,0.78,,3.6,0.3,1.08,,4.5,0.31,1.395,,,0
0,0.33,0,,0,0.29,0,,0,0.37,0,,,0
1.9,0.44,0.836,,3.7,0.29,1.073,,4.6,0.27,1.242,,,0
3.3,0.24,0.792,,3.6,0.27,0.972,,2.42,0.5,1.21,,,1
1.75,0.49,0.8575,,4,0.27,1.08,,5.3,0.24,1.272,,,0
2.37,0.36,0.8532,,3.9,0.27,1.053,,3.15,0.36,1.134,,,1
1.92,0.4,0.768,,3.9,0.29,1.131,,4.2,0.32,1.344,,,0
4.4,0.19,0.836,,4.1,0.24,0.984,,1.84,0.57,1.0488,,,1
1.88,0.41,0.7708,,4.1,0.29,1.189,,4.6,0.3,1.38,,,0
2,0.26,0.52,,3.9,0.27,1.053,,3.65,0.46,1.679,,,0
6,0.13,0.78,,5.3,0.18,0.954,,1.5,0.69,1.035,,,0
1.36,0.55,0.748,,5.75,0.24,1.38,,9,0.2,1.8,,,0
2.8,0.23,0.644,,3.45,0.27,0.9315,,2.6,0.51,1.326,,,1
2.15,0.25,0.5375,,3.5,0.27,0.945,,3.31,0.49,1.6219,,,1
1.58,0.54,0.8532,,4.4,0.26,1.144,,5.5,0.21,1.155,,,0
1.48,0.44,0.6512,,4.85,0.27,1.3095,,6.6,0.29,1.914,,,0
1.65,0.5,0.825,,4.35,0.27,1.1745,,5.8,0.24,1.392,,,0
1.85,0.51,0.9435,,4,0.24,0.96,,4.5,0.26,1.17,,,0
1.75,0.42,0.735,,3.9,0.28,1.092,,5.75,0.3,1.725,,,0
1.85,0.35,0.6475,,4,0.27,1.08,,4.15,0.38,1.577,,,0
2,0.38,0.76,,4,0.29,1.16,,4.8,0.33,1.584,,,0
1.76,0.46,0.8096,,3.95,0.26,1.027,,5.05,0.27,1.3635,,,0
1.5,0.55,0.825,,4.8,0.25,1.2,,6.75,0.2,1.35,,,0
1.48,0.57,0.8436,,4.9,0.22,1.078,,7.3,0.21,1.533,,,0
1.43,0.65,0.9295,,5.25,0.2,1.05,,8.1,0.15,1.215,,,0
5.7,0.1,0.57,,4.3,0.15,0.645,,1.67,0.75,1.2525,,,0
1.49,0.58,0.8642,,5.2,0.22,1.144,,7.7,0.2,1.54,,,0
1.88,0.46,0.8648,,3.95,0.26,1.027,,4.5,0.28,1.26,,,1
2.6,0.32,0.832,,3.25,0.28,0.91,,3.25,0.4,1.3,,,0
1.55,0.48,0.744,,4.6,0.25,1.15,,7,0.27,1.89,,,0
1.2,0.73,0.876,,8.5,0.17,1.445,,17,0.1,1.7,,,0
1.68,0.52,0.8736,,4.2,0.24,1.008,,6.5,0.24,1.56,,,0
1.82,0.52,0.9464,,5,0.25,1.25,,9.5,0.24,2.28,,,0
3.1,0.38,1.178,,3.65,0.27,0.9855,,2.32,0.35,0.812,,,1
1.46,0.44,0.6424,,5,0.28,1.4,,9.25,0.28,2.59,,,0
1.81,0.5,0.905,,4,0.27,1.08,,4.7,0.23,1.081,,,0
1.63,0.51,0.8313,,4.55,0.24,1.092,,5.4,0.26,1.404,,,0
