Lille,Rennes,85.18896556,,,,,2.08,3.45,4.6,2,,0.41868327878423,0.324919565782101,0.256397155433669,0.870861219871198,1.12097250194825,1.17942691499488,,100,,100,,106.56
Lorient,Strasbourg,-14.76125802,,,,,2.5,3.2,3.25,1,,0.282940764001025,0.409025227838322,0.308034008160653,0.707351910002562,1.30888072908263,1.00111052652212,,100,,100,,106.56
Bordeaux,Nantes,-9.439117189,,,,,2.75,3.01,3.4,2,,0.288126125080082,0.407659009798436,0.304214865121483,0.792346843970224,1.22705361949329,1.03433054141304,,84.0035600882281,,100,,106.56
Monaco,Reims,0.5012386999,,,,,2,3.6,4.5,2,,0.298284398065488,0.404290621843379,0.297424980091133,0.596568796130976,1.45544623863617,1.3384124104101,,112.762934626799,,100,,106.56
Nimes,Brest,76.20283988,,,,,2.35,3.4,3.35,1,,0.402727774526546,0.33755277069692,0.259719454776534,0.946410270137383,1.14767942036953,0.870060173501388,,112.762934626799,,100,,106.56
Lyon,Dijon,254.54348366,,,,,1.29,6.5,13.5,1,,0.695878406772523,0.143362831863663,0.160758761363814,0.897683144736555,0.93185840711381,2.17024327841148,,112.762934626799,,100,,106.56
Dijon,Angers,3.8541674399,,,,,,,,3,,0.301860583524119,0.402902277134008,0.295237139341872,0,0,0,,112.762934626799,,100,,106.56
Strasbourg,Nice,20.336127329,,,,,2.26,3.5,3.85,3,,0.320666566559687,0.394091505338243,0.28524192810207,0.724706440424893,1.37932026868385,1.09818142319297,,112.762934626799,,100,,106.56
Nice,Lens,147.43962291,,,,,,,,1,,0.538725319454798,0.230722979926393,0.230551700618809,0,0,0,,112.762934626799,,100,,106.56
SaintEtienne,Lorient,139.29980112,,,,,2.35,3.3,3.4,1,,0.523090480334774,0.242309894652604,0.234599625012621,1.22926262878672,0.799622652353595,0.797638725042913,,112.762934626799,,100,,106.56
Reims,Lille,-12.33727597,,,,,3.15,3.15,2.67,3,,0.285281664777542,0.408439455351894,0.306278879870564,0.898637244049257,1.28658428435846,0.817764609254407,,112.762934626799,,100,,106.56
Rennes,Montpellier,125.45165134,,,,,1.94,3.6,4.8,1,,0.495982672689218,0.263117007700796,0.240900319609986,0.962206385017083,0.947221227722864,1.15632153412793,,93.7520186871219,,100,,106.56
Metz,Monaco,12.52830227,,,,,4.1,3.75,2,3,,0.311492986659269,0.398687570519086,0.289819442821645,1.277121245303,1.49507838944657,0.57963888564329,,93.7520186871219,,100,,106.56
Brest,Marseille,-101.8032877,,,,,4.1,3.4,2.2,3,,0.214928711884925,0.398879837611879,0.386191450503195,0.881207718728193,1.35619144788039,0.84962119110703,,93.7520186871219,,100,,106.56
Nantes,Nimes,48.258514409,,,,,2.03,3.5,4.7,1,,0.357899644530217,0.371009429487435,0.271090925982348,0.726536278396342,1.29853300320602,1.27412735211703,,81.0304987174994,,100,,106.56
Angers,Bordeaux,18.9923945,,,,,2.35,3.15,3.7,3,,0.319052120840039,0.394938253470078,0.286009625689883,0.749772483974091,1.24405549843075,1.05823561505257,,81.0304987174994,,100,,106.56
Lens,PSG,-300.2241412,,,,,5.1,4.1,1.75,1,,0.113096022191069,0.250097190846185,0.636806786962746,0.576789713174453,1.02539848246936,1.11441187718481,,81.0304987174994,,100,,106.56
Bordeaux,Lyon,-141.1389964,,,,,4.4,3.65,2.05,2,,0.190513068027266,0.38017568900777,0.429311242964964,0.838257499319972,1.38764126487836,0.880088048078175,,71.6693678808561,,100,,106.56
Montpellier,Nice,77.236905346,,,,,2.2,3.45,3.75,1,,0.404528784003179,0.336138585269575,0.259332630727247,0.889963324806993,1.15967811918003,0.972497365227175,,100.039888632277,,100,,106.56
SaintEtienne,Strasbourg,107.15564621,,,,,2.15,3.4,3.9,1,,0.460082754523536,0.291634328447518,0.248282917028946,0.989177922225603,0.99155671672156,0.968303376412889,,100.039888632277,,80.1153282659138,,85.3708938001577
Lille,Metz,166.41622992,,,,,1.57,4.1,7.85,1,,0.573657456965573,0.20624658422246,0.220095958811966,0.90064220743595,0.845610995312087,1.72775327667394,,100.039888632277,,80.1153282659138,,85.3708938001577
Lorient,Lens,48.949841526,,,,,2.4,3.35,3.6,3,,0.358915990569825,0.3703029994253,0.270781010004875,0.861398377367579,1.24051504807476,0.97481163601755,,100.039888632277,,80.1153282659138,,85.3708938001577
Angers,Reims,-16.79733573,,,,,2.35,3.05,4.5,1,,0.281000523585447,0.409471100869975,0.309528375544578,0.660351230425801,1.24888685765342,1.3928776899506,,100.039888632277,,80.1153282659138,,85.3708938001577
Dijon,Brest,61.09652582,,,,,2.8,3.3,3.05,3,,0.377548052716521,0.356850204682152,0.265601742601328,1.05713454760626,1.1776056754511,0.810085314934049,,89.2341691661818,,80.1153282659138,,85.3708938001577
Nimes,Rennes,-57.64727829,,,,,3.4,3.3,2.3,3,,0.246238392173658,0.410619541239772,0.34314206658657,0.837210533390438,1.35504448609125,0.78922675314911,,89.2341691661818,,80.1153282659138,,85.3708938001577
PSG,Marseille,165.45152693,,,,,1.53,5.5,7.75,3,,0.571944142893764,0.207395254662387,0.220660602443848,0.87507453862746,1.14067390064313,1.71011966893982,,77.2466105897393,,80.1153282659138,,85.3708938001577
Monaco,Nantes,29.692985039,,,,,1.91,3.7,4.6,1,,0.332340693297862,0.387534829565612,0.280124477136526,0.634770724198916,1.43387886939277,1.28857259482802,,77.2466105897393,,80.1153282659138,,85.3708938001577
