Niort,Tours,1,4,15.5312483831735,,,2.26,3.06,4.1,3,,,,,,,,,,,,,,,19/08/16,,,,,,,,2.17,,2.94,,3.61
Sochaux,Orleans,0,0,197.236244821879,,,1.92,3.35,5.8,2,,,,,,,,,,,,,,,19/08/16,,,,,,,,1.8,,3.18,,4.89
Strasbourg,Nimes,1,1,-3.31093555315283,,,1.82,3.45,5.66,2,,,,,,,,,,,,,,,19/08/16,,,,,,,,1.76,,3.27,,4.92
Lens,Amiens,0,1,230.378838543939,,,1.97,3.2,5.16,3,,,,,,,,,,,,,,,20/08/16,,,,,,,,1.9,,3,,4.57
Reims,RedStar,2,1,145.321474639935,,,2,3.2,5.2,1,,,,,,,,,,,,,,,22/08/16,,,,,,,,1.9,,3.01,,4.59
AjaccioGFCO,Strasbourg,1,1,146.815764954577,,,2.38,3,3.77,2,,,,,,,,,,,,,,,26/08/16,,,,,,,,2.28,,2.9,,3.42
BourgPeronnas,Niort,2,2,-21.4483778552665,,,2.59,3.1,3.27,2,,,,,,,,,,,,,,,26/08/16,,,,,,,,2.46,,2.95,,3.03
Clermont,Ajaccio,2,1,56.9289044059806,,,2.5,3.1,3.46,1,,,,,,,,,,,,,,,26/08/16,,,,,,,,2.38,,2.96,,3.15
Nimes,Amiens,2,3,180.46658721109,,,2.3,3.14,4.09,3,,,,,,,,,,,,,,,26/08/16,,,,,,,,2.11,,3.04,,3.68
Orleans,Auxerre,0,0,-99.3858453660294,,,2.6,3.1,3.53,2,,,,,,,,,,,,,,,26/08/16,,,,,,,,2.35,,2.95,,3.23
Tours,Reims,1,1,-63.8061167586404,,,2.85,3.02,3.01,2,,,,,,,,,,,,,,,26/08/16,,,,,,,,2.69,,2.88,,2.79
Troyes,Lens,1,1,46.7214578622636,,,2.97,3.14,2.87,2,,,,,,,,,,,,,,,26/08/16,,,,,,,,2.74,,2.98,,2.65
Valenciennes,Laval,2,0,44.8271849277282,,,2.33,3,3.98,1,,,,,,,,,,,,,,,26/08/16,,,,,,,,2.23,,2.91,,3.54
RedStar,LeHavre,0,0,-53.5558787489838,,,2.87,3.01,2.94,2,,,,,,,,,,,,,,,27/08/16,,,,,,,,2.69,,2.9,,2.76
Sochaux,Brest,2,2,74.3744368914099,,,2.14,3.1,4.45,2,,,,,,,,,,,,,,,29/08/16,,,,,,,,2.05,,2.96,,3.93
Ajaccio,RedStar,1,2,76.1251717668074,,,2.08,3.1,4.85,3,,,,,,,,,,,,,,,09/09/16,,,,,,,,2.02,,2.91,,4.23
Amiens,Tours,3,1,-64.6983193090998,,,2.2,3.13,4.33,1,,,,,,,,,,,,,,,09/09/16,,,,,,,,2.08,,3.01,,3.82
Auxerre,Sochaux,0,0,-29.4295373651742,,,3,3,2.84,2,,,,,,,,,,,,,,,09/09/16,,,,,,,,2.83,,2.87,,2.66
Brest,Clermont,0,2,139.406865596852,,,2.2,3.15,4.15,3,,,,,,,,,,,,,,,09/09/16,,,,,,,,2.11,,3.02,,3.7
Laval,Orleans,3,1,158.567615642145,,,2.75,3,3.2,1,,,,,,,,,,,,,,,09/09/16,,,,,,,,2.55,,2.88,,2.97
Lens,BourgPeronnas,1,1,202.899200695876,,,1.7,3.7,6.99,2,,,,,,,,,,,,,,,09/09/16,,,,,,,,1.62,,3.53,,5.77
Niort,Nimes,1,3,52.3459476025812,,,2.38,3.2,3.73,3,,,,,,,,,,,,,,,09/09/16,,,,,,,,2.24,,3.03,,3.35
Reims,AjaccioGFCO,2,0,204.255582774314,,,2.39,3.1,3.78,1,,,,,,,,,,,,,,,09/09/16,,,,,,,,2.24,,2.91,,3.49
LeHavre,Valenciennes,2,2,105.128004622602,,,1.75,3.6,6.52,2,,,,,,,,,,,,,,,10/09/16,,,,,,,,1.66,,3.43,,5.51
Strasbourg,Troyes,2,0,-72.8470155418461,,,1.85,3.4,5.89,1,,,,,,,,,,,,,,,12/09/16,,,,,,,,1.76,,3.26,,4.91
BourgPeronnas,LeHavre,2,1,-35.6346508601746,,,3.22,3.29,2.5,1,,,,,,,,,,,,,,,16/09/16,,,,,,,,3.05,,3.13,,2.33
Clermont,Lens,1,1,30.1954665179308,,,2.68,3.09,3.15,2,,,,,,,,,,,,,,,16/09/16,,,,,,,,2.51,,2.95,,2.94
Orleans,Strasbourg,3,1,27.8930817636037,,,3.11,3.1,2.9,1,,,,,,,,,,,,,,,16/09/16,,,,,,,,2.85,,2.79,,2.72
RedStar,Laval,1,0,4.36470507391368,,,2.27,3,4.27,1,,,,,,,,,,,,,,,16/09/16,,,,,,,,2.16,,2.85,,3.81
Sochaux,Reims,1,1,-15.192851116265,,,2.38,3.1,3.81,2,,,,,,,,,,,,,,,16/09/16,,,,,,,,2.24,,2.93,,3.46
Tours,Nimes,1,3,39.0264910926364,,,2.55,3.2,3.3,3,,,,,,,,,,,,,,,16/09/16,,,,,,,,2.37,,3.06,,3.04
Troyes,Niort,1,1,71.9536895596823,,,2.5,3.16,3.37,2,,,,,,,,,,,,,,,16/09/16,,,,,,,,2.35,,3.01,,3.14
Valenciennes,Ajaccio,1,1,38.3981999598004,,,2.52,3.1,3.52,2,,,,,,,,,,,,,,,16/09/16,,,,,,,,2.4,,2.88,,3.19
Brest,Auxerre,1,0,77.6418845549285,,,2.1,3.2,4.5,1,,,,,,,,,,,,,,,17/09/16,,,,,,,,2.03,,3.07,,3.87
Strasbourg,RedStar,0,0,-55.0616313581927,,,1.93,3.25,5.31,2,,,,,,,,,,,,,,,19/09/16,,,,,,,,1.87,,3.1,,4.54
Ajaccio,Auxerre,2,0,52.3551479082928,,,2.11,3.15,4.5,1,,,,,,,,,,,,,,,20/09/16,,,,,,,,2.02,,3,,4.02
Amiens,Valenciennes,0,0,-43.907820240393,,,2.01,3.3,5.05,2,,,,,,,,,,,,,,,20/09/16,,,,,,,,1.93,,3.05,,4.37
Laval,Sochaux,1,1,-16.8509313556515,,,3.6,2.9,2.6,2,,,,,,,,,,,,,,,20/09/16,,,,,,,,3.29,,2.8,,2.4
LeHavre,Brest,1,1,122.667565531093,,,2.1,3.12,4.65,2,,,,,,,,,,,,,,,20/09/16,,,,,,,,2.01,,3.02,,4.01
Lens,Orleans,4,2,213.258903517805,,,1.95,3.2,5.54,1,,,,,,,,,,,,,,,20/09/16,,,,,,,,1.87,,3.06,,4.63
Nimes,Troyes,2,2,32.6976019814972,,,2.05,3.45,4.5,2,,,,,,,,,,,,,,,20/09/16,,,,,,,,1.97,,3.27,,3.81
Niort,AjaccioGFCO,0,0,40.5591997043084,,,3.14,2.94,2.77,2,,,,,,,,,,,,,,,20/09/16,,,,,,,,2.86,,2.85,,2.65
Reims,Clermont,2,1,176.857832934197,,,2.01,3.25,4.98,1,,,,,,,,,,,,,,,20/09/16,,,,,,,,1.93,,3.14,,4.18
Tours,BourgPeronnas,0,2,113.612530486226,,,2.19,3.3,4,3,,,,,,,,,,,,,,,20/09/16,,,,,,,,2.1,,3.15,,3.54
AjaccioGFCO,Nimes,0,2,65.7773318655063,,,2.12,3.2,4.75,3,,,,,,,,,,,,,,,23/09/16,,,,,,,,2.02,,3.05,,3.94
Auxerre,LeHavre,0,1,8.94854780091259,,,3.26,3.2,2.65,3,,,,,,,,,,,,,,,23/09/16,,,,,,,,2.99,,2.94,,2.48
BourgPeronnas,Laval,0,0,40.1236433582144,,,2.23,3.2,4.1,2,,,,,,,,,,,,,,,23/09/16,,,,,,,,2.14,,3.03,,3.59
Clermont,Strasbourg,0,0,167.585965355126,,,2.7,3,3.39,2,,,,,,,,,,,,,,,23/09/16,,,,,,,,2.47,,2.86,,3.09
Orleans,Amiens,1,2,47.2130296385596,,,2.73,3,3.25,3,,,,,,,,,,,,,,,23/09/16,,,,,,,,2.54,,2.9,,2.96
RedStar,Niort,0,1,-27.2452719506052,,,2.17,3.02,4.45,3,,,,,,,,,,,,,,,23/09/16,,,,,,,,2.1,,2.93,,3.87
Sochaux,Ajaccio,1,0,59.7086629578664,,,2.1,3.02,4.77,1,,,,,,,,,,,,,,,23/09/16,,,,,,,,2.04,,2.91,,4.15
Troyes,Tours,3,1,74.7548085800454,,,2.3,3.28,4.05,1,,,,,,,,,,,,,,,23/09/16,,,,,,,,2.12,,3.13,,3.5
Valenciennes,Lens,1,2,-7.05478828105174,,,3.56,3.01,2.5,3,,,,,,,,,,,,,,,24/09/16,,,,,,,,3.18,,2.89,,2.39
Brest,Reims,2,1,46.4511978719586,,,2.82,3.1,3.08,1,,,,,,,,,,,,,,,26/09/16,,,,,,,,2.57,,2.91,,2.88
