Fulham,Arsenal,-126.62242269578,,,,,5.5,4.15,1.67,3,,0.196304689003451,0.396796210138724,0.406899100857825,,1.07967578951898,1.64670427207571,0.679521498432568,,100,2,,100,2
CrystalPalace,Southampton,10.3519834947699,,,,,3.3,3.32,2.67,1,,0.301075772165959,0.41526569640097,0.283658531433071,,0.993550048147665,1.37868211205122,0.757368278926299,,100,2,,100,2
Liverpool,Leeds,377.38475891536,,,,,1.3,6.4,11.8,1,,0.804052671052087,0.104362697579023,0.09158463136889,,1.04526847236771,0.667921264505746,1.0806986501529,,83.677495170206,1.92260867140323,,101.742664210419,2.00750310578142
WestHam,Newcastle,59.3531967363799,,,,,2.03,3.68,4,3,,0.36186140542032,0.381004731965329,0.257133862614351,,0.734578653003249,1.40209741363241,1.02853545045741,,83.677495170206,1.92260867140323,,87.1816600399047,1.94042513423095
WestBromwich,Leicester,-59.65278911032,,,,,3.45,3.5,2.25,3,,0.240590156977516,0.420245780759321,0.339164062263163,,0.830036041572429,1.47086023265762,0.763119140092117,,83.677495170206,1.92260867140323,,87.7722058383509,1.94335701292177
Tottenham,Everton,206.564193970379,,,,,2.1,3.4,4,3,,0.644151880558661,0.159702870026271,0.196145249415067,,1.35271894917319,0.542989758089322,0.78458099766027,,83.677495170206,1.92260867140323,,87.4398164926782,1.94170923750179
Sheffield,Wolverhampton,-18.459232831319,,,,,3.35,3,2.6,3,,0.273611231096384,0.422102747152128,0.304286021751487,,0.916597624172888,1.26630824145638,0.791143656553867,,56.8460059284972,1.75469995602199,,74.9402198396547,1.87471496277711
Brighton,Chelsea,-145.84413341456,,,,,6.4,4.5,1.58,3,,0.185152345841672,0.386161405613356,0.428686248544971,,1.1849750133867,1.7377263252601,0.677324272701055,,49.2767259921786,1.69264184504181,,77.721218265179,1.89053959946375
Everton,WestBromwich,208.009655180999,,,,,1.58,4,6,1,,0.646483730258789,0.158292155197745,0.195224114543466,,1.02144429380889,0.633168620790978,1.1713446872608,,49.2767259921786,1.69264184504181,,60.3466525756786,1.78065318481894
Leeds,Fulham,202.651447345929,,,,,1.72,4,5.1,1,,0.637721560953532,0.163667812211601,0.198610626834867,,1.09688108484008,0.654671248846404,1.01291419685782,,49.2767259921786,1.69264184504181,,53.522373322044,1.72853536294016
