Orleans,Brest,1,0,H,,,2.42,3.15,3.77,1,,,,,,,,22/08/14,,,,,,,,,,,,,,,,,,2.26,,2.97,,3.41
Troyes,Laval,0,0,D,,,1.62,4.03,7.2,2,,,,,,,,22/08/14,,,,,,,,,,,,,,,,,,1.54,,3.74,,6.3
Valenciennes,LeHavre,0,4,A,,,2.65,3.1,3.34,3,,,,,,,,22/08/14,,,,,,,,,,,,,,,,,,2.43,,2.99,,3.05
Dijon,Auxerre,1,0,H,,,1.73,3.65,6.4,1,,,,,,,,23/08/14,,,,,,,,,,,,,,,,,,1.67,,3.41,,5.37
AjaccioGFCO,Troyes,0,4,A,,,2.9,3.1,2.88,3,,,,,,,,29/08/14,,,,,,,,,,,,,,,,,,2.75,,2.99,,2.68
Auxerre,Valenciennes,1,2,A,,,2.16,3.2,4.3,3,,,,,,,,29/08/14,,,,,,,,,,,,,,,,,,2.06,,3.09,,3.82
Chateauroux,Orleans,0,0,D,,,3.15,3.1,2.72,2,,,,,,,,29/08/14,,,,,,,,,,,,,,,,,,2.89,,2.96,,2.56
Laval,Ajaccio,0,0,D,,,2.39,3.11,3.8,2,,,,,,,,29/08/14,,,,,,,,,,,,,,,,,,2.28,,2.99,,3.34
LeHavre,Creteil,1,1,D,,,2.1,3.5,4.9,2,,,,,,,,29/08/14,,,,,,,,,,,,,,,,,,1.93,,3.2,,4.13
Nimes,Arles,2,2,D,,,2.11,3.34,4.6,2,,,,,,,,29/08/14,,,,,,,,,,,,,,,,,,2,,3.16,,3.87
Niort,Clermont,0,0,D,,,1.95,3.4,5.4,2,,,,,,,,29/08/14,,,,,,,,,,,,,,,,,,1.86,,3.2,,4.45
Sochaux,Dijon,0,1,A,,,2.47,3.2,3.44,3,,,,,,,,29/08/14,,,,,,,,,,,,,,,,,,2.37,,3.04,,3.11
Tours,Angers,1,2,A,,,2.3,3.2,3.77,3,,,,,,,,30/08/14,,,,,,,,,,,,,,,,,,2.18,,3.08,,3.38
Brest,Nancy,2,0,H,,,2.45,3.1,3.6,1,,,,,,,,01/09/14,,,,,,,,,,,,,,,,,,2.28,,2.99,,3.26
Ajaccio,Chateauroux,1,1,D,,,1.9,3.6,5.61,2,,,,,,,,12/09/14,,,,,,,,,,,,,,,,,,1.76,,3.34,,4.93
Angers,AjaccioGFCO,2,0,H,,,2,3.3,4.95,1,,,,,,,,12/09/14,,,,,,,,,,,,,,,,,,1.93,,3.17,,4.24
Arles,Tours,1,0,H,,,2.53,3.11,3.4,1,,,,,,,,12/09/14,,,,,,,,,,,,,,,,,,2.44,,3,,3.05
Clermont,LeHavre,1,0,H,,,2.78,3.15,3.1,1,,,,,,,,12/09/14,,,,,,,,,,,,,,,,,,2.61,,2.99,,2.84
Dijon,Niort,1,0,H,,,2,3.4,5.04,1,,,,,,,,12/09/14,,,,,,,,,,,,,,,,,,1.91,,3.2,,4.29
Nimes,Brest,0,0,D,,,2.54,3.1,3.47,2,,,,,,,,12/09/14,,,,,,,,,,,,,,,,,,2.38,,2.98,,3.18
Orleans,Laval,1,1,D,,,2.02,3.3,4.9,2,,,,,,,,12/09/14,,,,,,,,,,,,,,,,,,1.94,,3.12,,4.28
Valenciennes,Creteil,1,1,D,,,2.2,3.25,4.05,2,,,,,,,,12/09/14,,,,,,,,,,,,,,,,,,2.14,,3.12,,3.55
Nancy,Sochaux,1,1,D,,,1.91,3.4,5,2,,,,,,,,13/09/14,,,,,,,,,,,,,,,,,,1.84,,3.26,,4.41
Troyes,Auxerre,1,2,A,,,1.62,4.1,7.16,3,,,,,,,,15/09/14,,,,,,,,,,,,,,,,,,1.56,,3.67,,6.15
AjaccioGFCO,Dijon,2,0,H,,,3.11,3.1,2.82,1,,,,,,,,19/09/14,,,,,,,,,,,,,,,,,,2.86,,2.95,,2.6
Auxerre,Ajaccio,1,1,D,,,2.4,3.17,3.85,2,,,,,,,,19/09/14,,,,,,,,,,,,,,,,,,2.22,,3.05,,3.4
Brest,Arles,1,0,H,,,2,3.3,6.13,1,,,,,,,,19/09/14,,,,,,,,,,,,,,,,,,1.81,,3.17,,4.92
Chateauroux,Nancy,2,5,A,,,3.41,3.05,2.6,3,,,,,,,,19/09/14,,,,,,,,,,,,,,,,,,3.08,,2.95,,2.45
Creteil,Clermont,2,2,D,,,2.11,3.31,4.2,2,,,,,,,,19/09/14,,,,,,,,,,,,,,,,,,2.05,,3.13,,3.78
Laval,Angers,3,2,H,,,2.63,3.11,3.35,1,,,,,,,,19/09/14,,,,,,,,,,,,,,,,,,2.45,,2.95,,3.08
Niort,Valenciennes,3,0,H,,,2.1,3.31,4.9,1,,,,,,,,19/09/14,,,,,,,,,,,,,,,,,,1.92,,3.18,,4.23
