Nice,Metz,1,0,,,,2.38,3.2,3.79,1,,,2.24,3.07,3.47,,,,,,,,,,,,,,,13/09/14
Reims,Toulouse,2,0,,,,3.2,3.3,2.63,1,,,2.94,3.14,2.49,,,,,,,,,,,,,,,13/09/14
Rennes,PSG,1,1,,,,7.65,4.43,1.53,2,,,6.96,4.15,1.48,,,,,,,,,,,,,,,13/09/14
SaintEtienne,Caen,1,0,,,,1.74,3.8,6.1,1,,,1.66,3.66,5.44,,,,,,,,,,,,,,,13/09/14
ETG,Marseille,1,3,,,,3.8,3.35,2.26,3,,,3.5,3.22,2.16,,,,,,,,,,,,,,,14/09/14
Guingamp,Bordeaux,2,1,,,,2.89,3.2,2.92,1,,,2.73,2.98,2.79,,,,,,,,,,,,,,,14/09/14
Lille,Nantes,2,0,,,,1.8,3.55,6.1,1,,,1.74,3.37,5.34,,,,,,,,,,,,,,,14/09/14
Bordeaux,ETG,2,1,,,,1.58,4.2,7.7,1,,,1.54,3.91,6.7,,,,,,,,,,,,,,,19/09/14
Lorient,Reims,0,1,,,,1.86,3.7,5.6,3,,,1.76,3.47,4.95,,,,,,,,,,,,,,,20/09/14
Marseille,Rennes,3,0,,,,1.7,4,6.7,1,,,1.62,3.72,5.85,,,,,,,,,,,,,,,20/09/14
Metz,Bastia,3,1,,,,2.26,3.3,3.99,1,,,2.18,3.15,3.53,,,,,,,,,,,,,,,20/09/14
Nantes,Nice,2,1,,,,1.92,3.5,5.32,1,,,1.85,3.34,4.6,,,,,,,,,,,,,,,20/09/14
Toulouse,Caen,3,3,,,,2.41,3.3,3.7,2,,,2.28,3.07,3.41,,,,,,,,,,,,,,,20/09/14
Lens,SaintEtienne,0,1,,,,4,3.3,2.4,3,,,3.49,3.14,2.2,,,,,,,,,,,,,,,21/09/14
Lille,Montpellier,0,0,,,,1.86,3.6,5.66,2,,,1.78,3.3,5.03,,,,,,,,,,,,,,,21/09/14
Monaco,Guingamp,1,0,,,,1.68,4,7.08,1,,,1.6,3.71,6.06,,,,,,,,,,,,,,,21/09/14
PSG,Lyon,1,1,,,,1.38,5.64,12,2,,,1.32,5,9.99,,,,,,,,,,,,,,,21/09/14
Reims,Marseille,0,5,,,,4.5,3.4,2.06,3,,,4.05,3.28,1.98,,,,,,,,,,,,,,,23/09/14
Rennes,Toulouse,0,3,,,,2.43,3.37,3.5,3,,,2.28,3.24,3.22,,,,,,,,,,,,,,,23/09/14
Bastia,Nantes,0,0,,,,2.47,3.25,3.5,2,,,2.33,3.13,3.22,,,,,,,,,,,,,,,24/09/14
Caen,PSG,0,2,,,,7.5,4.55,1.55,3,,,6.66,4.14,1.5,,,,,,,,,,,,,,,24/09/14
ETG,Lens,2,1,,,,2.31,3.38,3.75,1,,,2.17,3.25,3.42,,,,,,,,,,,,,,,24/09/14
Guingamp,Metz,0,1,,,,2.21,3.3,4.2,3,,,2.07,3.17,3.83,,,,,,,,,,,,,,,24/09/14
Lyon,Lorient,4,0,,,,1.81,3.71,5.8,1,,,1.72,3.52,5.18,,,,,,,,,,,,,,,24/09/14
Montpellier,Monaco,0,1,,,,3.33,3.35,2.51,3,,,3.08,3.18,2.38,,,,,,,,,,,,,,,24/09/14
Nice,Lille,1,0,,,,4.01,3.3,2.25,1,,,3.65,3.14,2.14,,,,,,,,,,,,,,,24/09/14
SaintEtienne,Bordeaux,1,1,,,,2.21,3.36,4.09,2,,,2.08,3.25,3.69,,,,,,,,,,,,,,,25/09/14
Lille,Bastia,1,0,,,,1.63,4,7.76,1,,,1.57,3.67,6.71,,,,,,,,,,,,,,,27/09/14
Lorient,ETG,0,2,,,,2.01,3.6,4.7,3,,,1.94,3.35,4.1,,,,,,,,,,,,,,,27/09/14
Metz,Reims,3,0,,,,2.21,3.4,4.33,1,,,2.01,3.26,3.96,,,,,,,,,,,,,,,27/09/14
Monaco,Nice,0,1,,,,1.65,4.2,8.32,3,,,1.51,3.95,6.97,,,,,,,,,,,,,,,27/09/14
Montpellier,Guingamp,2,1,,,,2.07,3.4,4.55,1,,,1.96,3.25,4.16,,,,,,,,,,,,,,,27/09/14
Toulouse,PSG,1,1,,,,6,3.8,1.8,2,,,5.14,3.63,1.7,,,,,,,,,,,,,,,27/09/14
Bordeaux,Rennes,2,1,,,,1.81,3.8,5.6,1,,,1.75,3.57,4.82,,,,,,,,,,,,,,,28/09/14
Lens,Caen,0,0,,,,2.98,3.3,2.76,2,,,2.79,3.14,2.61,,,,,,,,,,,,,,,28/09/14
Marseille,SaintEtienne,2,1,,,,1.92,3.8,4.89,1,,,1.83,3.51,4.38,,,,,,,,,,,,,,,28/09/14
Nantes,Lyon,1,1,,,,2.9,3.3,2.9,2,,,2.71,3.09,2.73,,,,,,,,,,,,,,,28/09/14
Reims,Bordeaux,1,0,,,,4.05,3.4,2.2,1,,,3.65,3.24,2.09,,,,,,,,,,,,,,,03/10/14
Bastia,Lorient,0,2,,,,2.32,3.3,3.78,3,,,2.17,3.18,3.48,,,,,,,,,,,,,,,04/10/14
Caen,Marseille,1,2,,,,4.05,3.46,2.1,3,,,3.74,3.3,2.03,,,,,,,,,,,,,,,04/10/14
ETG,Metz,3,0,,,,2.42,3.3,3.5,1,,,2.31,3.13,3.22,,,,,,,,,,,,,,,04/10/14
Nice,Montpellier,1,1,,,,2.52,3.27,3.3,2,,,2.4,3.11,3.09,,,,,,,,,,,,,,,04/10/14
Rennes,Lens,2,0,,,,1.92,3.51,4.9,1,,,1.84,3.4,4.46,,,,,,,,,,,,,,,04/10/14
Guingamp,Nantes,0,1,,,,2.74,3.1,3.13,3,,,2.58,2.97,2.95,,,,,,,,,,,,,,,05/10/14
