Bastia,PSG,0,1,-206.98185065,,100,13,5.35,1.4,3,,0.133479482577007,0.427111321965947,0.439409195457047,,1.73523327350109,2.28504557251781,0.615172873639865,,,,,,,,,10.57,,4.93,,1.32,,12/08/16
Monaco,Guingamp,2,2,186.2259288,,100,1.73,3.85,6.22,2,,0.380649482155868,0.489045715648145,0.130304802195987,,0.658523604129652,1.88282600524536,0.810495869659038,,,,,,,,,1.66,,3.7,,5.44,,12/08/16
Bordeaux,SaintEtienne,3,2,41.3530220700002,,100,2.54,3.2,3.29,1,,0.289826697877416,0.481741885227475,0.228431416895109,,0.736159812608636,1.54157403272792,0.751539361584908,,,,,,,,,2.43,,3.06,,3.13,,13/08/16
Caen,Lorient,3,2,38.3704879100001,,100,2.2,3.4,3.78,1,,0.287772884697998,0.48148671034082,0.230740404961181,,0.633100346335596,1.63705481515879,0.872198730753266,,,,,,,,,2.15,,3.27,,3.5,,13/08/16
Dijon,Nantes,0,1,-13.92751219,,100,2.62,3.1,3.3,3,,0.251491043826791,0.476024769256243,0.272484186916965,,0.658906534826194,1.47567678469435,0.899197816825985,,,,,,,,,2.45,,3,,3.17,,13/08/16
Metz,Lille,3,2,-119.19584225,,77.3487245383641,3.65,3.2,2.35,1,,0.181859113731698,0.456960069391554,0.361180816876747,,0.663785765120698,1.46227222205297,0.848774919660357,,,,,,,,,3.44,,3.06,,2.27,,13/08/16
Montpellier,Angers,1,0,83.6652402999998,,61.0959214632218,2.13,3.2,4.32,1,,0.318445825431655,0.484823328700512,0.196730845867833,,0.678289608169426,1.55143465184164,0.84987725414904,,,,,,,,,2.07,,3.1,,3.97,,13/08/16
Marseille,Toulouse,0,0,142.95744379,,61.0959214632218,2.1,3.41,4.22,2,,0.355949797389692,0.48773718737323,0.156313015237078,,0.747494574518353,1.66318380894271,0.65964092430047,,,,,,,,,2,,3.31,,3.92,,14/08/16
Nancy,Lyon,0,3,-89.06224711,,61.0959214632218,3.66,3.44,2.22,3,,0.200825505924816,0.463842889160258,0.335331604914926,,0.735021351684827,1.59561953871129,0.744436162911136,,,,,,,,,3.45,,3.29,,2.15,,14/08/16
Nice,Rennes,1,0,48.13416244,,61.0959214632218,2.51,3.21,3.3,1,,0.294482488771142,0.482302155055685,0.223215356173172,,0.739151046815567,1.54818991772875,0.736610675371468,,,,,,,,,2.38,,3.11,,3.15,,14/08/16
Lyon,Caen,2,0,204.03963822,,61.0959214632218,1.45,5.4,9.5,1,,0.390070865974765,0.489413214447694,0.120515919577541,,0.565602755663409,2.64283135801755,1.14490123598664,,,,,,,,,1.37,,4.9,,8.28,,19/08/16
Angers,Nice,0,1,-30.5208555699999,,61.0959214632218,2.56,3.1,3.43,3,,0.240029353452529,0.473838604554047,0.286132041993424,,0.614475144838474,1.46889967411755,0.981432904037445,,,,,,,,,2.47,,2.9,,3.25,,20/08/16
Lille,Dijon,1,0,261.68472185,,47.4540844803571,1.71,3.67,6.5,1,,0.417462446996005,0.48998133297958,0.092556220024415,,0.713860784363168,1.79823149203506,0.601615430158698,,,,,,,,,1.66,,3.53,,5.85,,20/08/16
Lorient,Bastia,0,3,88.4477932800001,,47.4540844803571,1.92,3.5,5,3,,0.321601032284344,0.485114057064522,0.193284910651135,,0.61747398198594,1.69789919972583,0.966424553255673,,,,,,,,,1.86,,3.33,,4.59,,20/08/16
Nantes,Monaco,0,1,-94.3824315900001,,47.4540844803571,2.7,3.12,3.2,3,,0.197404431238085,0.462725455497603,0.339870113264312,,0.532991964342828,1.44370342115252,1.0875843624458,,,,,,,,,2.55,,3.03,,2.98,,20/08/16
Rennes,Nancy,2,0,84.3713090199999,,37.5222261635669,2.14,3.3,4.2,1,,0.318912854381079,0.484866928421875,0.196220217197045,,0.682473508375509,1.60006086379219,0.82412491222759,,,,,,,,,2.08,,3.19,,3.82,,20/08/16
Toulouse,Bordeaux,4,1,27.09618372,,37.5222261635669,2.5,3.3,3.3,1,,0.279981921181904,0.480471744199382,0.239546334618714,,0.699954802954759,1.58555675585796,0.790502904241758,,,,,,,,,2.37,,3.13,,3.18,,20/08/16
Guingamp,Marseille,2,1,-77.6141727199999,,37.5222261635669,2.88,3.25,2.94,1,,0.208281442205891,0.466117349399556,0.325601208394553,,0.599850553552966,1.51488138554856,0.957267552679986,,,,,,,,,2.69,,3.14,,2.74,,21/08/16
PSG,Metz,3,0,446.34373469,,37.5222261635669,1.18,10.03,34,1,,0.478206805786234,0.485169983482376,0.03662321073139,,0.564284030827756,4.86625493432823,1.24518916486726,,,,,,,,,1.12,,8.64,,22.25,,21/08/16
SaintEtienne,Montpellier,3,1,145.75312595,,37.5222261635669,2.14,3.3,4.55,1,,0.357619947004442,0.487840760512422,0.154539292483136,,0.765306686589505,1.60987450969099,0.703153780798271,,,,,,,,,2.03,,3.2,,3.95,,21/08/16
Marseille,Lorient,2,0,95.0973258004351,,37.5222261635669,1.82,3.85,5.2,1,,0.325954743757217,0.485500702757861,0.188544553484922,,0.593237633638136,1.86917770561777,0.980431678121592,,,,,,,,,1.76,,3.62,,4.75,,26/08/16
Caen,Bastia,2,0,72.920187000108,,37.5222261635669,2.2,3.3,4.05,1,,0.311289566886865,0.484129998116922,0.204580434996213,,0.684837047151103,1.59762899378584,0.828550761734663,,,,,,,,,2.1,,3.17,,3.73,,27/08/16
Dijon,Lyon,4,2,-153.800227739528,,37.5222261635669,5,3.81,1.85,1,,0.161465344391586,0.447171540152513,0.391363115455901,,0.807326721957931,1.70372356798107,0.724021763593417,,,,,,,,,4.57,,3.57,,1.79,,27/08/16
