Metz,Reims,1,1,-60,,,2.38,3.1,3.6,2,,0.24422198,0.41025038,0.34552764,,0.581248309798179,1.27177617030546,1.24389951687112,,-60.279220962773,,,,,,,2021-08-22T13:00:00Z
Bordeaux,Angers,1,1,-17,,,3.41,3.2,2.5,2,,0.28111596,0.40944559,0.30943845,,0.958605409399442,1.31022589986195,0.773596126143816,,-16.6755124993636,,,,,,,2021-08-22T13:00:00Z
Rennes,Nantes,1,0,77,,,1.88,3.8,6,1,,0.40491682,0.33583344,0.25924974,,0.761243620715323,1.27616706421054,1.55549845512258,,77.4589932946099,,,,,,,2021-08-22T15:00:00Z
Nice,Marseille,,,-39,,,2.65,3.4,3.1,,,0.26134726,0.4118029,0.32684984,,0.692570230457867,1.4001298621348,1.01323451204625,,,,,,,,,2021-08-22T18:45:00Z
Nantes,Lyon,0,1,-188,,,4.4,4,1.78,3,,0.16433977,0.34949963,0.4861606,,0.723094989370674,1.39799850021394,0.865365876250299,,-188.414835128013,,,,,,,2021-08-27T19:00:00Z
Nice,Bordeaux,4,0,58,,,1.85,3.7,4.75,1,,,,,,,,,,58.0306953087138,,,,,,,2021-08-28T15:00:00Z
Marseille,SaintEtienne,3,1,79,,,1.75,3.95,5.25,1,,,,,,,,,,79.2306504979963,,,,,,,2021-08-28T19:00:00Z
Troyes,Monaco,1,2,-111,,,5.1,3.85,1.78,3,,,,,,,,,,-110.876749762617,,,,,,,2021-08-29T11:00:00Z
Lens,Lorient,2,2,112,,,1.63,4.3,6,2,,,,,,,,,,111.991124171765,,,,,,,2021-08-29T13:00:00Z
Strasbourg,Brest,3,1,56,,,2,3.65,4,1,,,,,,,,,,56.2254649044924,,,,,,,2021-08-29T13:00:00Z
Clermont,Metz,2,2,-58,,,1.68,3.9,5.75,2,,,,,,,,,,-58.4335319495124,,,,,,,2021-08-29T13:00:00Z
Angers,Rennes,2,0,-54,,,2.95,3.15,2.75,1,,,,,,,,,,-53.618013801582,,,,,,,2021-08-29T13:00:00Z
Lille,Montpellier,2,1,109,,,1.7,4.25,6.3,1,,,,,,,,,,108.824271639246,,,,,,,2021-08-29T15:00:00Z
Reims,PSG,0,2,-255,,,16,8,1.22,3,,,,,,,,,,-254.621123969917,,,,,,,2021-08-29T18:45:00Z
Rennes,Reims,0,2,79,,,1.62,3.85,6,3,,,,,,,,,,78.9402380813431,,,,,,,2021-09-12T13:00:00Z
Metz,Troyes,0,2,39,,,2.26,3.3,3.25,3,,,,,,,,,,38.9429522192822,,,,,,,2021-09-12T13:00:00Z
Brest,Angers,1,1,12,,,2.7,3.35,2.65,2,,,,,,,,,,12.2494861801886,,,,,,,2021-09-12T13:00:00Z
Bordeaux,Lens,2,3,-27,,,3.2,3.45,2.25,3,,,,,,,,,,-26.8947142038116,,,,,,,2021-09-12T13:00:00Z
PSG,Clermont,4,0,291,,,1.18,7.7,17,1,,,,,,,,,,290.588913774428,,,,,,,2021-09-12T18:00:00Z
Nantes,Nice,0,2,-75,,,3.25,3.36,2.25,3,,,,,,,,,,-75.2651392682953,,,,,,,2021-09-12T18:00:00Z
Montpellier,SaintEtienne,2,0,32,,,2.3,3.55,3.05,1,,,,,,,,,,31.6400669048346,,,,,,,2021-09-12T18:00:00Z
Monaco,Marseille,0,2,13,,,2.1,3.6,3.45,3,,,,,,,,,,13.2549501944479,,,,,,,2021-09-12T18:00:00Z
Lyon,Strasbourg,3,1,119,,,1.52,4.6,6,1,,,,,,,,,,118.628773291884,,,,,,,2021-09-12T18:00:00Z
Lorient,Lille,2,1,-124,,,3.81,3.4,2.05,1,,,,,,,,,,-123.997913291557,,,,,,,2021-09-12T18:00:00Z
Troyes,Montpellier,1,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-19T13:00:00Z
Reims,Lorient,0,0,,,,,,,,,,,,,,,,,,,,,,,,2021-09-19T13:00:00Z
Angers,Nantes,1,4,,,,,,,,,,,,,,,,,,,,,,,,2021-09-19T13:00:00Z
Clermont,Brest,1,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-19T13:00:00Z
Strasbourg,Metz,3,0,,,,,,,,,,,,,,,,,,,,,,,,2021-09-19T18:00:00Z
SaintEtienne,Bordeaux,1,2,,,,,,,,,,,,,,,,,,,,,,,,2021-09-19T18:00:00Z
Marseille,Rennes,2,0,,,,,,,,,,,,,,,,,,,,,,,,2021-09-19T18:00:00Z
Nice,Monaco,2,2,,,,,,,,,,,,,,,,,,,,,,,,2021-09-19T18:00:00Z
Lens,Lille,1,0,,,,,,,,,,,,,,,,,,,,,,,,2021-09-19T18:00:00Z
PSG,Lyon,2,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-19T18:45:00Z
Lille,Reims,2,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-22T18:00:00Z
Rennes,Clermont,6,0,,,,,,,,,,,,,,,,,,,,,,,,2021-09-22T18:00:00Z
Lens,Strasbourg,0,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-22T18:00:00Z
Angers,Marseille,0,0,,,,,,,,,,,,,,,,,,,,,,,,2021-09-22T18:00:00Z
Montpellier,Bordeaux,3,3,,,,,,,,,,,,,,,,,,,,,,,,2021-09-22T18:00:00Z
Nantes,Brest,3,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-22T18:00:00Z
Monaco,SaintEtienne,3,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-22T18:00:00Z
Metz,PSG,1,2,,,,,,,,,,,,,,,,,,,,,,,,2021-09-22T18:00:00Z
Lyon,Troyes,3,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-22T18:00:00Z
Lorient,Nice,1,0,,,,,,,,,,,,,,,,,,,,,,,,2021-09-22T18:00:00Z
Troyes,Angers,1,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-26T18:00:00Z
Strasbourg,Lille,1,2,,,,,,,,,,,,,,,,,,,,,,,,2021-09-26T18:00:00Z
Reims,Nantes,3,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-26T18:00:00Z
SaintEtienne,Nice,0,3,,,,,,,,,,,,,,,,,,,,,,,,2021-09-26T18:00:00Z
Marseille,Lens,2,3,,,,,,,,,,,,,,,,,,,,,,,,2021-09-26T18:00:00Z
PSG,Montpellier,2,0,,,,,,,,,,,,,,,,,,,,,,,,2021-09-26T18:00:00Z
Clermont,Monaco,1,3,,,,,,,,,,,,,,,,,,,,,,,,2021-09-26T18:00:00Z
Lyon,Lorient,1,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-26T18:00:00Z
Bordeaux,Rennes,1,1,,,,,,,,,,,,,,,,,,,,,,,,2021-09-26T18:00:00Z
Brest,Metz,1,2,,,,,,,,,,,,,,,,,,,,,,,,2021-09-26T18:00:00Z
SaintEtienne,Lyon,1,1,,,,,,,,,,,,,,,,,,,,,,,,2021-10-03T18:00:00Z
Rennes,PSG,2,0,,,,,,,,,,,,,,,,,,,,,,,,2021-10-03T18:00:00Z
Nice,Brest,2,1,,,,,,,,,,,,,,,,,,,,,,,,2021-10-03T18:00:00Z
Nantes,Troyes,2,0,,,,,,,,,,,,,,,,,,,,,,,,2021-10-03T18:00:00Z
Montpellier,Strasbourg,1,1,,,,,,,,,,,,,,,,,,,,,,,,2021-10-03T18:00:00Z
Monaco,Bordeaux,3,0,,,,,,,,,,,,,,,,,,,,,,,,2021-10-03T18:00:00Z
Lille,Marseille,2,0,,,,,,,,,,,,,,,,,,,,,,,,2021-10-03T18:00:00Z
Lens,Reims,2,0,,,,,,,,,,,,,,,,,,,,,,,,2021-10-03T18:00:00Z
Lorient,Clermont,1,1,,,,,,,,,,,,,,,,,,,,,,,,2021-10-03T18:00:00Z
Angers,Metz,3,2,,,,,,,,,,,,,,,,,,,,,,,,2021-10-03T18:00:00Z
Troyes,Nice,1,0,,,,,,,,,,,,,,,,,,,,,,,,2021-10-17T18:00:00Z
Strasbourg,SaintEtienne,5,1,,,,,,,,,,,,,,,,,,,,,,,,2021-10-17T18:00:00Z
Metz,Rennes,0,3,,,,,,,,,,,,,,,,,,,,,,,,2021-10-17T18:00:00Z
Marseille,Lorient,4,1,,,,,,,,,,,,,,,,,,,,,,,,2021-10-17T18:00:00Z
PSG,Angers,2,1,,,,,,,,,,,,,,,,,,,,,,,,2021-10-17T18:00:00Z
Montpellier,Lens,1,0,,,,,,,,,,,,,,,,,,,,,,,,2021-10-17T18:00:00Z
Clermont,Lille,1,0,,,,,,,,,,,,,,,,,,,,,,,,2021-10-17T18:00:00Z
Lyon,Monaco,2,0,,,,,,,,,,,,,,,,,,,,,,,,2021-10-17T18:00:00Z
Bordeaux,Nantes,1,1,,,,,,,,,,,,,,,,,,,,,,,,2021-10-17T18:00:00Z
Brest,Reims,1,1,,,,,,,,,,,,,,,,,,,,,,,,2021-10-17T18:00:00Z
SaintEtienne,Angers,2,2,,,,,,,,,,,,,,,,,,,,,,,,2021-10-24T18:00:00Z
Rennes,Strasbourg,1,0,,,,,,,,,,,,,,,,,,,,,,,,2021-10-24T18:00:00Z
Reims,Troyes,1,2,,,,,,,,,,,,,,,,,,,,,,,,2021-10-24T18:00:00Z
Nantes,Clermont,2,1,,,,,,,,,,,,,,,,,,,,,,,,2021-10-24T18:00:00Z
Nice,Lyon,3,2,,,,,,,,,,,,,,,,,,,,,,,,2021-10-24T18:00:00Z
Monaco,Montpellier,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-24T18:00:00Z
Marseille,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-24T18:00:00Z
Lille,Brest,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-24T18:00:00Z
Lorient,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-24T18:00:00Z
Lens,Metz,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-24T18:00:00Z
Troyes,Rennes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-31T19:00:00Z
Strasbourg,Lorient,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-31T19:00:00Z
PSG,Lille,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-31T19:00:00Z
Montpellier,Nantes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-31T19:00:00Z
Clermont,Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-31T19:00:00Z
Brest,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-31T19:00:00Z
Metz,SaintEtienne,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-31T19:00:00Z
Lyon,Lens,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-31T19:00:00Z
Bordeaux,Reims,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-31T19:00:00Z
Angers,Nice,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-31T19:00:00Z
SaintEtienne,Clermont,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-07T19:00:00Z
Nice,Montpellier,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-07T19:00:00Z
Rennes,Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-07T19:00:00Z
Reims,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-07T19:00:00Z
Marseille,Metz,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-07T19:00:00Z
Lorient,Brest,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-07T19:00:00Z
Nantes,Strasbourg,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-07T19:00:00Z
Lens,Troyes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-07T19:00:00Z
Lille,Angers,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-07T19:00:00Z
Bordeaux,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-07T19:00:00Z
Troyes,SaintEtienne,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-21T19:00:00Z
Strasbourg,Reims,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-21T19:00:00Z
Rennes,Montpellier,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-21T19:00:00Z
PSG,Nantes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-21T19:00:00Z
Metz,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-21T19:00:00Z
Lyon,Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-21T19:00:00Z
Clermont,Nice,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-21T19:00:00Z
Monaco,Lille,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-21T19:00:00Z
Brest,Lens,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-21T19:00:00Z
Angers,Lorient,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-21T19:00:00Z
SaintEtienne,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-28T19:00:00Z
Reims,Clermont,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-28T19:00:00Z
Montpellier,Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-28T19:00:00Z
Monaco,Strasbourg,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-28T19:00:00Z
Lorient,Rennes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-28T19:00:00Z
Marseille,Troyes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-28T19:00:00Z
Nice,Metz,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-28T19:00:00Z
Lens,Angers,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-28T19:00:00Z
Lille,Nantes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-28T19:00:00Z
Bordeaux,Brest,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-28T19:00:00Z
Troyes,Lorient,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01T19:00:00Z
Strasbourg,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01T19:00:00Z
Rennes,Lille,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01T19:00:00Z
Nantes,Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01T19:00:00Z
Lyon,Reims,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01T19:00:00Z
Metz,Montpellier,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01T19:00:00Z
Brest,SaintEtienne,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01T19:00:00Z
Angers,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01T19:00:00Z
Clermont,Lens,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01T19:00:00Z
PSG,Nice,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01T19:00:00Z
SaintEtienne,Rennes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-05T19:00:00Z
Reims,Angers,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-05T19:00:00Z
Nice,Strasbourg,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-05T19:00:00Z
Montpellier,Clermont,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-05T19:00:00Z
Monaco,Metz,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-05T19:00:00Z
Marseille,Brest,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-05T19:00:00Z
Lorient,Nantes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-05T19:00:00Z
Lille,Troyes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-05T19:00:00Z
Lens,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-05T19:00:00Z
Bordeaux,Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-05T19:00:00Z
Troyes,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-12T19:00:00Z
Strasbourg,Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-12T19:00:00Z
Rennes,Nice,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-12T19:00:00Z
Reims,SaintEtienne,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-12T19:00:00Z
PSG,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-12T19:00:00Z
Nantes,Lens,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-12T19:00:00Z
Metz,Lorient,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-12T19:00:00Z
Brest,Montpellier,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-12T19:00:00Z
Lille,Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-12T19:00:00Z
Angers,Clermont,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-12T19:00:00Z
Troyes,Brest,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-22T19:00:00Z
SaintEtienne,Nantes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-22T19:00:00Z
Marseille,Reims,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-22T19:00:00Z
Monaco,Rennes,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-22T19:00:00Z
Lyon,Metz,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-22T19:00:00Z
Lorient,PSG,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-22T19:00:00Z
Clermont,Strasbourg,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-22T19:00:00Z
