Toulouse,Reims,2,2,103.17900722069,,,2.1,3.56,4.15,2,,,1.99,3.38,3.82,,,,,,12/09/15
Troyes,Caen,1,3,40.6666579164189,,,2.4,3.38,3.4,3,,,2.28,3.23,3.21,,,,,,12/09/15
Ajaccio,Monaco,0,1,-273.681980387005,,,5,3.32,2.1,3,,,4.42,3.21,1.92,,,,,,13/09/15
Marseille,Bastia,4,1,188.032337881763,,,1.53,4.33,8.5,1,,,1.48,4.06,7.35,,,,,,13/09/15
Nantes,Rennes,0,2,50.538724433851,,,2.75,3.1,3.25,3,,,2.62,2.9,3,,,,,,13/09/15
Rennes,Lille,1,1,-4.04443981770874,,,2.45,3.2,3.6,2,,,2.36,3.02,3.27,,,,,,18/09/15
Angers,Troyes,1,0,8.86465038349502,,,2.15,3.34,4.18,1,,,2.05,3.2,3.81,,,,,,19/09/15
Bastia,Nice,1,3,71.2903044155598,,,2.37,3.3,3.64,3,,,2.23,3.16,3.38,,,,,,19/09/15
Caen,Montpellier,2,1,24.0803336424613,,,2.22,3.45,3.75,1,,,2.16,3.28,3.41,,,,,,19/09/15
Guingamp,Ajaccio,2,1,192.755513019478,,,1.92,3.41,5.15,1,,,1.85,3.26,4.68,,,,,,19/09/15
Reims,PSG,1,1,-225.545513394962,,,10,5,1.45,2,,,8.3,4.41,1.4,,,,,,19/09/15
Bordeaux,Toulouse,1,1,215.969272764412,,,2.15,3.42,4.2,2,,,2.06,3.28,3.68,,,,,,20/09/15
Marseille,Lyon,1,1,6.86462812308173,,,2.2,3.59,3.8,2,,,2.07,3.39,3.52,,,,,,20/09/15
Monaco,Lorient,2,3,151.969099516046,,,1.73,3.9,5.9,3,,,1.66,3.62,5.47,,,,,,20/09/15
SaintEtienne,Nantes,2,0,240.946436874121,,,1.75,3.6,6.61,1,,,1.68,3.4,5.83,,,,,,20/09/15
Angers,Reims,0,0,19.9755409191603,,,2.56,3.15,3.33,2,,,2.46,3,3.1,,,,,,22/09/15
PSG,Guingamp,3,0,376.27702249884,,,1.23,7,23,1,,,1.2,6.27,15.94,,,,,,22/09/15
Ajaccio,Rennes,1,1,-141.671868214473,,,3.7,3.15,2.4,2,,,3.44,2.98,2.3,,,,,,23/09/15
Lorient,Caen,2,0,24.8541267335472,,,2.29,3.37,3.75,1,,,2.21,3.2,3.37,,,,,,23/09/15
Lyon,Bastia,2,0,235.766979586348,,,1.6,4.49,8.5,1,,,1.47,4.06,7.44,,,,,,23/09/15
Nice,Bordeaux,6,1,-41.6072745581992,,,2.8,3.22,3.1,1,,,2.65,3.07,2.77,,,,,,23/09/15
Toulouse,Marseille,1,1,18.0861714132591,,,3,3.38,2.62,2,,,2.81,3.22,2.53,,,,,,23/09/15
Troyes,SaintEtienne,0,1,-93.4361562046368,,,3.67,3.22,2.38,3,,,3.37,3.09,2.26,,,,,,23/09/15
Montpellier,Monaco,2,3,-112.332781788362,,,3.31,3.15,2.6,3,,,3.11,3.02,2.42,,,,,,24/09/15
Reims,Lille,1,0,-23.6933243966689,,,2.85,3.2,2.91,1,,,2.72,3.04,2.77,,,,,,25/09/15
Bastia,Toulouse,3,0,135.688977293918,,,3.03,3.2,2.75,1,,,2.84,3.07,2.61,,,,,,26/09/15
Bordeaux,Lyon,3,1,-12.3972787913972,,,2.8,3.25,2.88,1,,,2.72,3.06,2.73,,,,,,26/09/15
Caen,Ajaccio,2,0,200.309486937327,,,1.81,3.6,5.5,1,,,1.77,3.46,4.85,,,,,,26/09/15
Nantes,PSG,1,4,-212.350865105653,,,10.74,4.46,1.45,3,,,9.11,4.22,1.41,,,,,,26/09/15
Rennes,Troyes,1,1,100.007180541354,,,1.83,3.6,5.78,2,,,1.75,3.42,5.12,,,,,,26/09/15
Guingamp,Monaco,3,3,-140.266839301226,,,3.5,3.2,2.45,2,,,3.22,3.04,2.38,,,,,,27/09/15
Marseille,Angers,1,2,213.950981584915,,,1.47,4.53,9.5,3,,,1.42,4.25,8.32,,,,,,27/09/15
Montpellier,Lorient,2,1,27.2814042764151,,,2.26,3.4,3.8,1,,,2.19,3.23,3.4,,,,,,27/09/15
SaintEtienne,Nice,1,4,191.670411477425,,,1.76,3.75,5.93,3,,,1.71,3.53,5.22,,,,,,27/09/15
Lille,Nantes,0,1,222.441293313235,,,1.88,3.32,5.5,3,,,1.83,3.21,4.92,,,,,,29/09/15
Lille,Montpellier,2,0,182.410693801894,,,2.07,3.3,4.5,1,,,2.01,3.13,4.13,,,,,,02/10/15
Ajaccio,Toulouse,2,2,-36.3857430138391,,,3.25,3.3,2.54,2,,,3.01,3.14,2.43,,,,,,03/10/15
Angers,Bastia,1,0,46.9304997165573,,,2.2,3.4,4,1,,,2.13,3.15,3.66,,,,,,03/10/15
Lyon,Reims,1,0,215.851336948871,,,1.7,4.13,6.5,1,,,1.6,3.86,5.74,,,,,,03/10/15
Troyes,Guingamp,0,1,57.0629521324831,,,2.75,3.26,2.93,3,,,2.65,3.12,2.75,,,,,,03/10/15
Caen,SaintEtienne,1,0,-99.7746799349504,,,2.65,3.31,3.1,1,,,2.49,3.18,2.89,,,,,,04/10/15
Lorient,Bordeaux,3,2,2.95062974682605,,,2.7,3.33,3,1,,,2.56,3.16,2.81,,,,,,04/10/15
Monaco,Rennes,1,1,119.98372219662,,,1.91,3.5,4.92,2,,,1.85,3.35,4.51,,,,,,04/10/15
PSG,Marseille,2,1,288.856471966259,,,1.4,5.24,10.39,1,,,1.35,4.77,9.05,,,,,,04/10/15
Monaco,Lyon,1,1,0.969385850049321,,,2.72,3.4,3.15,2,,,2.54,3.16,2.89,,,,,,16/10/15
Bastia,PSG,0,2,-197.719023314721,,,12,5.5,1.4,3,,,9.86,4.89,1.33,,,,,,17/10/15
Guingamp,Lille,1,1,-29.5826744938463,,,2.76,3.15,3.01,2,,,2.65,3,2.88,,,,,,17/10/15
Nantes,Troyes,3,0,74.5460762513362,,,2,3.35,4.8,1,,,1.93,3.23,4.35,,,,,,17/10/15
Reims,Caen,0,1,57.3051409080545,,,2.7,3.35,3.1,3,,,2.5,3.19,2.9,,,,,,17/10/15
SaintEtienne,Ajaccio,2,0,371.95589265669,,,1.53,4.27,9,1,,,1.48,3.94,7.84,,,,,,17/10/15
Toulouse,Angers,1,2,120.835563118061,,,2.15,3.47,4.1,3,,,2.06,3.23,3.78,,,,,,17/10/15
Bordeaux,Montpellier,0,0,164.911033126245,,,1.85,3.7,5.27,2,,,1.8,3.48,4.67,,,,,,18/10/15
Marseille,Lorient,1,1,130.008171050118,,,1.62,4.34,6.5,2,,,1.56,4,5.94,,,,,,18/10/15
Rennes,Nice,1,4,34.6327654675158,,,2.25,3.46,3.9,3,,,2.13,3.27,3.54,,,,,,18/10/15
Caen,Nantes,0,2,69.0196314003858,,,2,3.5,4.79,3,,,1.94,3.24,4.32,,,,,,23/10/15
Lyon,Toulouse,3,0,277.500248820076,,,1.8,3.82,5.5,1,,,1.74,3.61,4.9,,,,,,23/10/15
Ajaccio,Nice,3,1,-156.081072040631,,,3.84,3.5,2.2,1,,,3.5,3.25,2.14,,,,,,24/10/15
Angers,Guingamp,0,0,28.1229797090214,,,2.62,3.15,3.32,2,,,2.46,3,3.13,,,,,,24/10/15
Lorient,Rennes,1,1,33.1374574425665,,,2.52,3.25,3.3,2,,,2.4,3.11,3.11,,,,,,24/10/15
Montpellier,Bastia,2,0,110.932250731399,,,2,3.41,4.75,1,,,1.93,3.28,4.22,,,,,,24/10/15
Bordeaux,Troyes,1,0,175.056087494847,,,1.6,4.28,7.5,1,,,1.55,3.9,6.35,,,,,,25/10/15
Lille,Marseille,1,2,117.22541244638,,,2.7,3.25,3.05,3,,,2.59,3.1,2.85,,,,,,25/10/15
PSG,SaintEtienne,4,1,231.127313745242,,,1.3,6,15,1,,,1.26,5.59,11.5,,,,,,25/10/15
Reims,Monaco,0,1,-116.987725234903,,,3.25,3.25,2.66,3,,,3.01,3.1,2.47,,,,,,25/10/15
Rennes,PSG,0,1,-217.44006951273,,,8.4,4.33,1.57,3,,,6.82,4.01,1.51,,,,,,30/10/15
Ajaccio,Bordeaux,2,0,-132.363285308345,,,5,3.65,1.95,1,,,4.28,3.39,1.89,,,,,,31/10/15
Bastia,Caen,1,0,51.0910746385091,,,3.13,3.26,2.68,1,,,2.91,3.11,2.54,,,,,,31/10/15
Guingamp,Lorient,2,2,23.4177641334984,,,2.1,3.5,4.1,2,,,2.03,3.32,3.78,,,,,,31/10/15
SaintEtienne,Reims,3,0,221.837758744723,,,1.67,4.08,6.5,1,,,1.61,3.8,5.71,,,,,,31/10/15
