Ajaccio,Dijon,0,0,,,,2.84,3.1,2.97,2,,,,,,,,,,,,,,,,31/07/15,,,,,,,2.68,,2.9,,2.76
Auxerre,Brest,0,0,,,,2.46,3.01,3.56,2,,,,,,,,,,,,,,,,31/07/15,,,,,,,2.37,,2.88,,3.22
BourgPeronnas,LeHavre,1,3,,,,2.65,3.1,3.15,3,,,,,,,,,,,,,,,,31/07/15,,,,,,,2.51,,2.95,,2.92
Clermont,Sochaux,0,0,,,,2.64,3.1,3.22,2,,,,,,,,,,,,,,,,31/07/15,,,,,,,2.5,,2.91,,2.96
Nimes,ETG,0,0,,,,2.75,3.18,2.91,2,,,,,,,,,,,,,,,,31/07/15,,,,,,,2.57,,3,,2.78
Niort,Valenciennes,0,1,,,,1.91,3.4,5.02,3,,,,,,,,,,,,,,,,31/07/15,,,,,,,1.83,,3.25,,4.48
ParisFC,Laval,1,1,,,,2.2,3.06,4.4,2,,,,,,,,,,,,,,,,31/07/15,,,,,,,2.1,,2.92,,3.84
RedStar,Creteil,0,1,,,,2.25,3.3,3.76,3,,,,,,,,,,,,,,,,31/07/15,,,,,,,2.14,,3.09,,3.46
Metz,Lens,0,0,,,,2.07,3.25,4.45,2,,,,,,,,,,,,,,,,01/08/15,,,,,,,2.01,,3.1,,3.86
Nancy,Tours,0,0,,,,1.85,3.5,5.6,2,,,,,,,,,,,,,,,,03/08/15,,,,,,,1.78,,3.27,,4.72
Brest,Nimes,2,0,,,,1.8,3.53,6.71,1,,,,,,,,,,,,,,,,07/08/15,,,,,,,1.68,,3.32,,5.57
Creteil,BourgPeronnas,2,1,,,,2.2,3.33,3.99,1,,,,,,,,,,,,,,,,07/08/15,,,,,,,2.08,,3.14,,3.59
Dijon,Niort,3,0,,,,2.06,3.2,4.54,1,,,,,,,,,,,,,,,,07/08/15,,,,,,,1.99,,3.04,,4.03
ETG,Clermont,2,2,,,,2.37,3.1,3.83,2,,,,,,,,,,,,,,,,07/08/15,,,,,,,2.24,,2.98,,3.4
Laval,Nancy,0,1,,,,3.1,3.1,2.72,3,,,,,,,,,,,,,,,,07/08/15,,,,,,,2.93,,2.9,,2.55
LeHavre,Ajaccio,1,0,,,,1.88,3.34,5.4,1,,,,,,,,,,,,,,,,07/08/15,,,,,,,1.82,,3.17,,4.68
Sochaux,Metz,0,1,,,,2.55,3.03,3.4,3,,,,,,,,,,,,,,,,07/08/15,,,,,,,2.45,,2.9,,3.08
Tours,ParisFC,0,0,,,,2.66,3.15,3.13,2,,,,,,,,,,,,,,,,07/08/15,,,,,,,2.5,,2.96,,2.94
Valenciennes,Auxerre,0,0,,,,2.54,3.1,3.35,2,,,,,,,,,,,,,,,,07/08/15,,,,,,,2.4,,2.95,,3.09
Lens,RedStar,1,1,,,,2.32,3.2,3.62,2,,,,,,,,,,,,,,,,08/08/15,,,,,,,2.2,,3.07,,3.37
Ajaccio,ETG,1,1,,,,2.6,3,3.5,2,,,,,,,,,,,,,,,,14/08/15,,,,,,,2.42,,2.87,,3.16
Auxerre,Laval,2,3,,,,2.02,3.2,5.01,3,,,,,,,,,,,,,,,,14/08/15,,,,,,,1.95,,3.01,,4.28
BourgPeronnas,Dijon,2,1,,,,3.2,3.1,2.62,1,,,,,,,,,,,,,,,,14/08/15,,,,,,,2.95,,2.96,,2.49
Clermont,Nimes,1,0,,,,1.8,3.5,6.13,1,,,,,,,,,,,,,,,,14/08/15,,,,,,,1.72,,3.3,,5.19
