Bordeaux,Dijon,3,0,122.64713199,,,1.7,3.85,5.8,1,0.93381913427,0.69127948351,1.57262078236
Rennes,Reims,2,2,113.63200648,,,1.81,3.78,5.7,2,0.954551432239,0.750104636778,1.56284388603
Lyon,Marseille,1,1,11.885466693,,,1.83,3.94,6,2,0.59205434961,1.474903411556,1.812792393
Dijon,Rennes,1,1,-118.4026856,,,5.25,3.1,1.7,2,1.16779825575,1.04718847571,0.74759115476
Nimes,PSG,0,4,-258.8139496,,,8.75,6.2,1.34,3,1.37088279475,0.91921148478,0.931390803224
Strasbourg,Lille,0,3,-43.68400728,,,4,3.32,2.25,3,1.0728151596,1.284543575792,0.7759923624
Strasbourg,Lyon,2,3,-92.21141676,,,5,3.8,1.91,3,1.182065658,1.37412125166,0.767774184066
Marseille,Bordeaux,3,1,71.693899726,,,2.25,3.35,3.8,1,0.961582770225,0.970733748135,1.07486272446
Angers,Metz,1,1,56.381029716,,,,,,2,0,0,0
Monaco,Montpellier,1,1,70.700154807,,,1.92,3.9,4.3,2,0.816369270528,1.1379264078,1.21703617885
Nantes,Brest,3,1,90.778953941,,,2.25,3.6,3.3,1,1.060794646425,0.89625142116,0.92260404885
Metz,Lorient,3,1,69.041614953,,,,,,1,0,0,0
SaintEtienne,Nice,1,3,53.539467157,,,2.97,3.35,2.77,3,1.157969755602,1.08416937884,0.793545563833
Rennes,Angers,1,2,134.13520871,,,2.35,3.45,3.87,3,1.35462100356,0.542479860585,1.03067771517
Lorient,Marseille,0,1,-159.4261187,,,2.82,3.3,2.87,3,0.571902048054,0.95522457327,1.457201927671
Lille,Lens,4,0,220.83371283,,,2.05,3.3,4.5,1,1.494113060155,0.2202223188,0.9199364616
PSG,Dijon,4,0,400.90837938,,,1.1,13.5,28,1,0.95474279626,0.61708329495,2.4175796288
Montpellier,Reims,0,4,101.79961415,,,,,,3,0,0,0
Brest,Strasbourg,0,3,59.368515995,,,2.39,3.6,3.1,3,0.959276770304,1.12840286976,0.88406954657
Metz,SaintEtienne,2,0,-27.5262638,,,2.15,3.4,4,1,0.60524726239,1.32139146286,1.3193803896
Bordeaux,Nimes,2,0,37.135584572,,,,,,1,0,0,0
Lyon,Monaco,4,1,171.64184018,,,1.84,4.1,4.4,1,1.203688299976,0.41930545594,1.07162859144
Rennes,Brest,2,1,191.07548339,,,1.98,4,4.2,1,1.36030729725,0.3370687152,0.96057752112
SaintEtienne,Montpellier,0,1,80.614846478,,,2.7,3.45,3.15,3,1.2082237911,0.93550191996,0.886251649815
Reims,Lorient,1,3,131.96346752,,,2.2,3.4,3.7,3,1.25707471076,0.54836375822,0.98908009946
Reims,Strasbourg,2,1,60.873752854,,,2.8,3.25,2.95,1,1.13238587756,1.0097847032,0.84037678547
Angers,Nice,0,3,0.6052643209,,,2.48,3.5,3.2,3,0.768329984944,1.335098107,0.98794534432
Dijon,Lorient,0,0,49.930706133,,,3.2,3.65,2.39,2,1.22577455264,1.20296868484,0.686802327534
Nice,Lille,1,1,1.8276970915,,,4.25,3.68,1.99,2,1.322697465675,1.401385831296,0.612851742204
Nantes,PSG,0,3,-241.5371244,,,8,5.5,1.5,3,1.3202657944,0.94665120495,0.99427256205
Lille,Lyon,1,1,40.619803426,,,2.92,3.48,2.72,2,1.069893164896,1.195698478464,0.788818262896
Monaco,Bordeaux,4,0,49.003741651,,,1.88,4.1,4.6,1,0.716906566212,1.35735597694,1.32297971836
Nimes,Metz,0,1,18.666565091,,,3.1,3.15,2.75,3,1.03093325061,1.16160481332,0.8213629985
Bordeaux,Montpellier,0,2,20.969284395,,,2.72,3.2,3.19,3,0.913295786384,1.17324416352,0.949314298229
PSG,Rennes,3,0,188.13817379,,,1.51,4.9,6.75,1,1.030374932399,0.42434043169,1.559468746575
Strasbourg,Marseille,0,1,-116.1006935,,,2.67,3.15,3.1,3,0.597032677815,1.07143818516,1.3523847619
Brest,Lille,3,2,-83.67771951,,,4.6,4,1.78,1,1.11019121222,1.4718492944,0.695431333868
Lens,Reims,4,4,-21.14611458,,,2.2,3.3,3.65,2,0.6320463798,1.28113750314,1.184361873615
Nimes,Angers,1,5,-13.80193228,,,2.95,3.3,2.65,3,0.868422861745,1.27675642314,0.84461722995
Metz,Dijon,1,1,136.90343734,,,2.17,3.3,4,2,1.264639529895,0.50231032302,1.060006228
Lorient,Nantes,0,2,-18.49437848,,,,,,3,0,0,0
Nice,Monaco,1,2,125.83812151,,,3.65,3.9,2,3,2.0328753475,0.6752288751,0.5398244818
Lyon,SaintEtienne,2,1,133.6494737,,,1.3,6.1,11,1,0.74790570673,0.96463709202,2.9320575856
Rennes,Bordeaux,0,1,122.1944548,,,1.97,3.6,4.5,3,1.079983153636,0.6497133858,1.2208916727
Monaco,PSG,3,2,-211.11551,,,6,5.3,1.5,1,1.0756953708,1.14646495154,0.90660494445
Brest,SaintEtienne,4,1,10.288979226,,,2.3,3.6,3.16,1,0.73942579158,1.35183366576,0.957483708892
Nantes,Metz,1,1,28.777512357,,,2.24,3.25,3.6,2,0.777802619104,1.165264821825,1.05920519652
Dijon,Lens,0,1,35.59614104,,,4.3,3.8,1.9,3,1.53939940875,1.33125261908,0.55417395152
Montpellier,Strasbourg,4,3,144.76788567,,,2.25,3.4,4.4,1,1.35076431825,0.4717783543,1.14796863896
Angers,Lyon,0,1,-103.5831802,,,4.5,3.9,1.83,3,1.03568884155,1.37295937233,0.764585088519
Reims,Nimes,0,1,75.992516209,,,1.84,3.75,4.4,3,0.80397304816,1.05349726275,1.241352299
Lille,Lorient,4,0,239.91175876,,,1.62,4,6.25,1,1.217168242182,0.2393520412,1.180147303125
Lens,Nantes,1,1,15.622111133,,,2.2,3.28,3.63,2,0.7225392757,1.21816526308,1.089657784677
Marseille,Nantes,3,1,95.520788046,,,2.14,3.4,4.1,1,1.033468043308,0.81058286228,1.14252356235
Strasbourg,Rennes,1,1,-68.62984536,,,3.25,3.2,2.32,2,0.814570935425,1.20734923936,0.863193471944
Lyon,Reims,3,0,124.57940373,,,1.4,5.2,8.15,1,0.77552258308,0.91337123228,2.20381691797
PSG,Bordeaux,2,2,273.76206408,,,1.18,8.25,15,2,0.92639492451,0.43352393535,2.435567994
Lorient,Montpellier,0,1,-50.97691024,,,3.9,3.6,1.95,3,1.02468110901,1.38570352272,0.68707003716
Monaco,Nimes,3,0,100.31322851,,,1.36,5.75,9,1,0.672702893888,1.309350859175,2.4988709358
Metz,Brest,0,2,89.580986284,,,2.4,3.3,3.1,3,1.12462033152,0.83031870933,0.8673690415
Lens,Angers,1,3,-4.600534881,,,2.2,3.25,3.55,3,0.66876387028,1.247593624875,1.10810218655
Nice,Dijon,1,3,202.62252344,,,1.81,4,4.55,3,1.274877447972,0.3049974748,0.9982629475
SaintEtienne,Lille,1,1,-24.05928734,,,4.3,3.45,2.05,2,1.22383237529,1.340317307535,0.670124601065
Nimes,Marseille,0,2,-162.8923301,,,5.3,3.9,1.68,3,1.06642987149,1.11101871465,0.863369174808
Rennes,Lens,0,2,152.71309384,,,2.12,3.45,3.7,3,1.308643082548,0.436227195975,0.94820958755
Montpellier,PSG,1,3,-143.3183488,,,4.8,4.2,1.72,3,1.00940606928,1.30132985976,0.82537059672
Bordeaux,Brest,1,0,79.911524237,,,2.21,3.45,3.3,1,0.98537111543,0.940687008105,0.9288437928
Angers,Lorient,2,0,94.949335715,,,1.8,3.64,4.6,1,0.86677242498,0.872439881768,1.28238099696
Lille,Monaco,2,1,192.4998501,,,2.6,3.45,2.8,1,1.79203561758,0.28697443827,0.637208698
Nantes,Strasbourg,0,4,65.291067787,,,2.22,3.35,3.25,3,0.918154084842,1.013060876865,0.923035252425
Dijon,SaintEtienne,0,0,-34.71010887,,,3.7,3.55,2.05,2,1.01887973481,1.378644751765,0.689366751815
SaintEtienne,Angers,0,0,30.049617664,,,2.36,3.4,3.1,2,0.824082056792,1.21411308832,0.91053386899
Reims,Nice,0,0,-18.06830082,,,2.42,3.4,3.05,2,0.702296634094,1.31845157534,0.982145457505
Metz,Lyon,1,3,-144.1380853,,,7,4.75,1.45,3,1.4693449855,1.467005889225,0.697812831035
Marseille,Monaco,2,1,123.4753439,,,3.31,3.5,2.19,1,1.824793403317,0.6225538837,0.59311849059
Nice,Rennes,0,1,-18.2594903,,,3.15,3.12,2.35,3,0.91356917337,1.209973788192,0.757089931975
Lens,Montpellier,2,3,-16.78417507,,,2.5,3.16,2.9,3,0.72861133975,1.224648819884,0.93092427039
Brest,Reims,2,1,4.8185267415,,,2.48,3.25,3,1,0.780585871152,1.23209382465,0.9184255209
Nantes,Dijon,1,1,118.56933106,,,1.71,3.75,5,2,0.922435833087,0.704885877375,1.3629713645
Strasbourg,Metz,2,2,22.350536074,,,1.9,3.45,4.3,2,0.64169288221,1.260310408215,1.27692601899
Lorient,Nimes,3,0,-19.843217,,,1.95,3.55,3.9,1,0.562606691595,1.377596029225,1.26137126037
Lille,Bordeaux,2,1,162.54328987,,,1.61,3.7,6.3,1,1.025674224155,0.41810467606,1.57458420378
PSG,Lyon,0,1,132.16924807,,,1.56,5,5.5,3,0.892127946996,0.8044833545,1.46974541945
Montpellier,Metz,0,2,111.98256905,,,1.65,3.95,5.6,3,0.863492599365,0.797886998575,1.53817688248
Reims,Nantes,3,2,40.13429993,,,2.37,3.25,3.1,1,0.866405850456,1.118871280475,0.89949545688
Angers,Strasbourg,0,2,58.321295735,,,2.37,3.4,3.05,3,0.94626593499,1.07211059096,0.870485336925
Nimes,Nice,0,2,-69.156759,,,4.1,3.8,1.88,3,1.02621952286,1.43264584092,0.700658124772
PSG,Lorient,2,0,344.68623605,,,1.15,8.5,17,1,0.9635898829,0.3985545586,1.9585186991
Dijon,Lille,0,2,-111.9677969,,,7,4.5,1.45,3,1.5801325127,1.5489933084,0.62356677047
Bordeaux,SaintEtienne,1,2,17.931577105,,,2.3,3.25,3.25,3,0.76256452643,1.2006043478,0.97185882105
Rennes,Marseille,2,1,-60.85540115,,,2.3,3.2,3.47,1,0.58831089511,1.21958374432,1.259931787327
Lyon,Brest,2,2,241.03373424,,,1.29,6.1,10,2,0.970821368547,0.36300268753,1.879166583
Monaco,Lens,0,3,118.58127985,,,1.58,4.4,5.5,3,0.852355040174,0.82695614848,1.4992461297
Marseille,Reims,1,1,90.745918297,,,1.85,3.4,4.7,2,0.87206212457,0.84670872418,1.314040523
Metz,Lens,2,0,8.5914219354,,,3.35,3.2,2.34,1,1.06985218301,1.20541552576,0.71124016275
Nice,Lyon,1,4,-102.8290497,,,6.2,4.6,1.52,3,1.42946122378,1.6224804049,0.63342748188
SaintEtienne,Nimes,2,2,95.529035152,,,1.5,4.6,6.75,2,0.7244235708,1.09658630236,1.880972726175
Dijon,Monaco,0,1,-9.709357326,,,6.6,4.85,1.48,3,1.9704102924,1.87086128478,0.467248418828
Nantes,Angers,1,1,-18.92069802,,,2.5,3.25,3.1,2,0.7234766445,1.260736062625,1.00034071616
Brest,Montpellier,2,2,12.06518652,,,2.7,3.4,2.75,2,0.87414769512,1.2723004952,0.830597807325
Strasbourg,Bordeaux,0,2,7.247223106,,,2.15,3.3,3.6,3,0.683049670365,1.24603419996,1.09697888736
Bordeaux,Reims,1,3,-11.15088928,,,2.32,3.25,3.5,3,0.689181295656,1.25510011185,1.1086405638
Lille,PSG,0,0,-79.85622274,,,3.6,3.5,2.19,2,0.87706463508,1.29697516165,0.844916459913
Lorient,Rennes,0,3,-131.560459,,,4.2,3.6,1.9,3,0.90685796922,1.1650401396,0.87487243212
Lens,Brest,2,1,64.125425427,,,2.1,3.7,3.6,1,0.86338805805,1.12713356484,1.02323569032
Rennes,Metz,1,0,92.80350337,,,1.6,3.9,6.8,1,0.76214710352,0.95339985273,1.8985366046
Nimes,Dijon,1,3,73.516871158,,,2.55,3.4,2.9,3,1.10006962668,0.97258707922,0.8193808567
Nice,Lorient,2,2,132.24292891,,,1.98,3.65,4.35,2,1.132655834376,0.58676803736,1.162290560505
Montpellier,Lille,2,3,9.8592959266,,,3.95,3.4,2.1,3,1.26773949897,1.27776946762,0.6368013582
PSG,Strasbourg,4,0,284.14625709,,,1.36,5.6,9,1,1.080035573032,0.28638852984,1.3924384857
Lyon,Nantes,3,0,176.40702053,,,,,,1,0,0,0
Angers,Marseille,2,1,-123.6002129,,,3.3,3.15,2.59,1,0.72543924717,1.04695373034,1.159811483026
Monaco,SaintEtienne,2,2,61.643288163,,,1.65,4.35,5.8,2,0.66989620731,1.34538547221,1.65136603502
Brest,Nice,2,0,-15.00553256,,,2.43,3.65,3.1,1,0.712441414782,1.413197787035,0.99087394546
Nantes,Rennes,0,0,-90.4145668,,,4.05,3.55,2.05,2,0.961606929285,1.288681860185,0.819092291775
Metz,Bordeaux,0,0,-22.6586169,,,2.8,3.15,2.95,2,0.80049965968,1.22340751155,0.960885585535
Strasbourg,Nimes,5,0,45.120281202,,,1.5,4.8,8.2,1,0.5614118763,1.61790434016,2.3670284943
Lyon,Lens,3,2,192.49101811,,,1.53,4.8,6.5,1,1.054523083608,0.39930068592,1.4792802921
Lorient,Monaco,2,5,-24.73280958,,,4.5,4,1.85,3,1.2780094932,1.5541656384,0.605794489295
Lille,Angers,1,2,160.17613884,,,1.88,3.48,5.3,3,1.188956982572,0.403884362652,1.33304194493
SaintEtienne,PSG,1,1,-209.3288666,,,11.5,6.35,1.3,2,2.07118622155,1.39026737694,0.78124423754
Reims,Dijon,0,0,130.44486627,,,1.93,3.55,4.7,2,1.09594638331,0.58277284575,1.25955660913
Marseille,Montpellier,3,1,75.368751152,,,2.27,3.3,3.75,1,0.988671584156,0.93136268082,1.058365281375
Montpellier,Nantes,1,1,109.86379622,,,2.32,3.5,3.7,2,1.202040120744,0.7231044401,1.01852856152
PSG,Brest,3,0,348.87572137,,,1.19,8.65,16,1,1.000136189962,0.404351528975,1.8048572576
Bordeaux,Lorient,2,1,77.64127864,,,2.27,3.45,3.8,1,1.000333222695,0.95729264574,1.07102408036
Rennes,Lyon,2,2,-55.34624747,,,3.95,3.7,2,2,1.02543532047,1.41853955493,0.7140141048
Monaco,Angers,3,0,29.252213126,,,1.75,3.9,5.75,1,0.608929260275,1.3962231738,1.69069826345
Reims,SaintEtienne,3,1,23.138745103,,,2.82,3.15,2.9,1,0.955600418412,1.14826417965,0.86015824767
Dijon,Marseille,0,0,-176.3424326,,,5,3.73,1.92,2,0.9754632955,0.994109565554,1.03370885952
Nimes,Lille,0,1,-138.517432,,,7.75,4.45,1.52,3,1.647421933,1.4043634494,0.717200046568
Metz,Nice,1,1,-45.63477482,,,2.92,3.2,2.8,2,0.77879902686,1.23663282624,0.97115268936
Montpellier,Monaco,2,3,93.532153629,,,4.15,4,1.85,3,1.984131687565,0.9713582508,0.516254369785
Lens,Strasbourg,0,1,22.268121487,,,2.45,3.4,3.2,3,0.82715729782,1.2423192408,0.95038964576
Marseille,Nimes,1,2,157.91418791,,,1.41,4.9,8.5,3,0.885362370468,0.58352032641,2.1504799757
Angers,PSG,0,1,-226.7203738,,,9,5.4,1.36,3,1.5483996657,1.04458234986,0.862939606712
Brest,Rennes,1,2,-46.24008707,,,3.35,3.6,2.2,3,0.891949750615,1.39065680304,0.76439613052
Nice,Bordeaux,0,3,24.57134158,,,,,,3,0,0,0
Strasbourg,SaintEtienne,1,0,13.755475237,,,2.2,3.25,3.7,1,0.71710300464,1.211934396075,1.11422243112
Lille,Reims,2,1,144.46267553,,,1.67,3.8,6,1,1.001452914513,0.52917793798,1.5664214634
Nantes,Lens,1,1,46.121134692,,,3.7,3.25,2.35,2,1.39145981215,1.0905346946,0.67769451246
Marseille,Lens,0,1,131.05987482,,,2.2,3.6,3.95,3,1.25243384134,0.58676723244,1.057497919585
Lyon,Metz,0,1,165.00182083,,,1.3,6,11,3,0.83434277433,0.6596619948,2.7307962
PSG,Montpellier,4,0,250.64023936,,,1.22,8.75,18.5,1,0.930620354302,0.49851060875,3.3341401113
Monaco,Marseille,3,1,-42.77523166,,,2,4,4.8,1,0.5378130842,1.5484340136,1.65112778112
Bordeaux,Angers,2,1,-26.45230524,,,2.58,3.25,3.2,1,0.72874954254,1.263013832275,1.05254174784
Lens,Nice,0,1,-53.26980129,,,2.22,3.55,3.95,3,0.579600449814,1.36371821409,1.40135232458
Reims,Brest,1,0,126.7423947,,,2.55,3.4,3,1,1.425717978735,0.58257665602,0.8086465047
Dijon,Strasbourg,1,1,-33.86023161,,,4,3.5,2.15,2,1.104318336,1.3594921494,0.721312288125
Metz,Nantes,2,0,21.54573711,,,2.6,3.25,3.2,1,0.87512422634,1.18978715765,0.95144128896
Rennes,Lille,0,1,9.3869992299,,,3.1,3.15,2.77,3,0.99309378602,1.18485833886,0.840699601801
Lorient,Dijon,3,2,33.66436414,,,2.25,3.5,3.45,1,0.798470928675,1.23467946595,1.008636721155
SaintEtienne,Lyon,0,5,-105.7871611,,,7.2,4.6,1.62,3,1.64863010016,1.6102131778,0.681983151642
Lyon,Bordeaux,2,1,122.22366183,,,1.4,5.35,8.35,1,0.7675992856,0.96522725315,2.265342365615
Nice,SaintEtienne,0,1,41.035135713,,,2.44,3.5,3.15,3,0.895759516152,1.20052953825,0.91311256449
Montpellier,Lens,1,2,89.663769856,,,3.2,3.3,2.45,3,1.50012785504,0.82971445821,0.685464482675
Brest,Metz,2,4,24.688360927,,,1.95,3.55,4.35,3,0.665179997235,1.28849267252,1.28727971037
Strasbourg,Reims,0,1,4.116465548,,,2.15,3.25,4,3,0.67491583573,1.233448047975,1.2262527256
Angers,Nimes,3,1,57.571137171,,,1.7,4.1,5.8,1,0.67621366327,1.29830932223,1.6562853897
Lorient,PSG,3,2,-306.395501,,,16.2,9.5,1.19,1,2.15244061614,0.87351633315,0.922469206925
Lille,Dijon,1,0,275.66851059,,,1.37,5.25,11,1,1.077895348346,0.27440375445,1.7704246153
Nantes,Monaco,1,2,8.4894059805,,,5.05,3.95,1.76,3,1.61212151112,1.488207964895,0.535051453024
Bordeaux,Lille,0,3,-96.60071827,,,4.1,3.25,2.15,3,0.95922537608,1.1637042612,0.877156444225
Rennes,Lorient,1,1,189.45220979,,,1.65,4.1,5.9,2,1.129364842815,0.35071694011,1.35697487603
Metz,Montpellier,1,1,-7.316949199,,,2.75,3.15,3.07,2,0.827913234225,1.212529187205,0.964012975791
Reims,Angers,0,0,30.019999623,,,2.67,3.11,3.1,2,0.932207901387,1.1106627619,0.91056973878
Strasbourg,Brest,2,2,104.68065221,,,2.2,3.25,3.5,2,1.11180106972,0.708511856975,0.9682128015
PSG,Nimes,3,0,315.38164097,,,1.15,11,23,1,0.94123854684,0.5315017917,3.0639071328
Dijon,Lyon,0,1,-214.9207213,,,9.5,6.3,1.37,3,1.68653277795,1.32754629294,0.838095582
SaintEtienne,Nantes,1,1,81.844375272,,,2.08,3.45,4,2,0.936701253904,0.926394508875,1.1245708444
Monaco,Nice,2,1,38.834713983,,,1.5,4.8,6.75,1,0.5450548788,1.6610517312,1.961399047725
Lens,Marseille,2,2,-129.3871214,,,2.42,3.3,3.4,2,0.52508521241,1.07599268337,1.5536784517
Lorient,Reims,1,0,-60.38587158,,,3.05,3.25,2.67,1,0.781126301505,1.239315444575,0.968049048489
Lyon,Strasbourg,3,0,171.80674964,,,1.4,5.55,9,1,0.91626931508,0.56659728333,2.1908908539
Lens,Rennes,0,0,-120.2682152,,,2.85,3.25,2.82,2,0.63126510651,1.09159998935,1.24820687523
Brest,Bordeaux,2,1,6.6644188189,,,2.8,3.45,2.83,1,0.88755574684,1.303968618825,0.863302497663
Montpellier,Dijon,4,2,157.78476109,,,1.75,3.95,5.1,1,1.098398912275,0.471085407575,1.29071488551
Nice,Angers,3,0,1.0988759951,,,3,3.25,2.7,1,0.9311362437,1.2388988664,0.83273832216
SaintEtienne,Metz,1,0,21.074289343,,,2.4,3.25,3.3,1,0.80620499112,1.191252040875,0.98188914153
Nimes,Monaco,3,4,-60.3013207,,,7.3,4.9,1.48,3,1.8700019596,1.86868842405,0.536456137832
Nantes,Lille,0,2,-120.1980494,,,5.1,3.62,1.86,3,1.12981228659,1.21613854207,0.82308404823
Marseille,PSG,0,2,-159.9509617,,,7.3,5.3,1.45,3,1.47869630886,1.53049105622,0.737567098235
PSG,Nice,2,1,235.16723511,,,1.34,6.75,11.5,1,0.999652049012,0.41388123825,2.21576559465
Lyon,Montpellier,1,2,148.53541497,,,1.43,5.15,7.5,3,0.87012409055,0.68369324138,1.94074234275
Monaco,Lorient,2,2,182.4114902,,,1.43,5.25,8.1,2,0.962364292032,0.480515426475,1.90747895976
Reims,Lens,1,1,57.508388702,,,3.25,3.1,2.66,2,1.292356151775,0.98199286644,0.759642961728
Rennes,SaintEtienne,0,2,92.268277277,,,1.96,3.55,4.5,3,0.931097528424,0.872064121815,1.2568426884
Angers,Nantes,1,3,62.501113162,,,2.21,3.1,4.1,3,0.901156787583,0.95383559651,1.16664616655
Dijon,Nimes,0,2,-5.423399834,,,,,,3,0,0,0
Metz,Strasbourg,1,2,27.219913033,,,3.1,3,2.75,3,1.06911034364,1.0808068761,0.8108560262
Lille,Brest,0,0,267.74916829,,,1.63,4.3,6.75,2,1.270714364787,0.23008737302,1.1266556193
Bordeaux,Marseille,0,0,-98.54310862,,,2.67,3.25,3.1,2,0.621808168248,1.158409304325,1.27310618154
Marseille,Nice,3,2,39.552386839,,,2.52,3.5,3.55,1,0.918748315548,1.2077515429,1.03072640288
Brest,Lyon,2,3,-134.6871094,,,6.25,4.9,1.53,3,1.34004015875,1.568270039,0.712273850685
Montpellier,Rennes,2,1,-38.9841449,,,,,,1,0,0,0
SaintEtienne,Reims,1,1,37.87347859,,,,,,2,0,0,0
Nantes,Marseille,1,1,-111.4717558,,,,,,2,0,0,0
Nice,Metz,1,2,14.571728511,,,,,,3,0,0,0
Lens,Dijon,2,1,94.654059327,,,,,,1,0,0,0
Strasbourg,Angers,0,0,1.1283470198,,,,,,2,0,0,0
Nimes,Bordeaux,2,0,-71.3730348,,,,,,1,0,0,0
Lorient,Lille,1,4,-143.2272247,,,,,,3,0,0,0
PSG,Monaco,0,2,262.06798158,,,,,,3,0,0,0
Nimes,Lorient,1,0,33.353146818,,,,,,1,0,0,0
Bordeaux,Metz,1,2,-17.23560021,,,,,,3,0,0,0
Dijon,PSG,0,4,-307.8711108,,,,,,3,0,0,0
