Lille,Rennes,85.18896556,0.4581605529,0.2612668318,0.2805726152,,2.08,3.45,4.6,2,0.952973950032,0.90137056971,1.29063402992,,100,2
Lorient,Strasbourg,-14.76125802,0.293427176,0.3871223924,0.3194504315,,2.5,3.2,3.25,1,0.73356794,1.23879165568,1.038213902375,,93.6765824333163,1.97163103815497
Bordeaux,Nantes,-9.439117189,0.2988279061,0.3856578684,0.3155142254,,2.75,3.01,3.4,2,0.821776741775,1.160830183884,1.07274836636,,78.7190527584014,1.89607985950516
Monaco,Reims,0.5012386999,0.3096910744,0.3815101341,0.3087987914,,2,3.6,4.5,2,0.6193821488,1.37343648276,1.3895945613,,99.8463817648139,1.99933233151972
Nimes,Brest,76.20283988,0.437416286,0.2804936112,0.2820901027,,2.35,3.4,3.35,1,1.0279282721,0.95367827808,0.945001844045,,99.8463817648139,1.99933233151972
Lyon,Dijon,254.54348366,0.7667861888,0.0560742466,0.1771395645,,1.29,6.5,13.5,1,0.989154183552,0.3644826029,2.39138412075,,96.3845377029736,1.98400736866546
Dijon,Angers,3.8541674399,0.3136027594,0.3796755728,0.3067216677,,,,,3,0,0,0,,96.3845377029736,1.98400736866546
Strasbourg,Nice,20.336127329,0.3348800116,0.3672348011,0.2978851872,,2.26,3.5,3.85,3,0.756828826216,1.28532180385,1.14685797072,,96.3845377029736,1.98400736866546
Nice,Lens,147.43962291,0.6061302126,0.1344716372,0.2593981501,,,,,1,0,0,0,,96.3845377029736,1.98400736866546
SaintEtienne,Lorient,139.29980112,0.5882104855,0.1479843707,0.2638051437,,2.35,3.3,3.4,1,1.382294640925,0.48834842331,0.89693748858,,96.3845377029736,1.98400736866546
Reims,Lille,-12.33727597,0.2958530902,0.3865185296,0.3176283801,,3.15,3.15,2.67,3,0.93193723413,1.21753336824,0.848067774867,,96.3845377029736,1.98400736866546
Rennes,Montpellier,125.45165134,0.5560300492,0.1739044344,0.2700655163,,1.94,3.6,4.8,1,1.078698295448,0.62605596384,1.29631447824,,96.3845377029736,1.98400736866546
Metz,Monaco,12.52830227,0.3243567442,0.3738551098,0.3017881459,,4.1,3.75,2,3,1.32986265122,1.40195666175,0.6035762918,,96.3845377029736,1.98400736866546
Brest,Marseille,-101.8032877,0.2311115414,0.3536191321,0.4152693264,,4.1,3.4,2.2,3,0.94755731974,1.20230504914,0.91359251808,,96.3845377029736,1.98400736866546
Nantes,Nimes,48.258514409,0.3799596434,0.3322400943,0.2878002622,,2.03,3.5,4.7,1,0.771318076102,1.16284033005,1.35266123234,,96.3845377029736,1.98400736866546
