Granada,Osasuna,1,0,,,,,,,1,,18/10/2019,20:00
Eibar,Barcelona,0,3,,,,,,,3,,19/10/2019,12:00
AthMadrid,Valencia,1,1,,,,,,,2,,19/10/2019,15:00
Getafe,Leganes,2,0,,,,,,,1,,19/10/2019,17:30
Mallorca,RealMadrid,1,0,,,,,,,1,,19/10/2019,20:00
Alaves,Celta,2,0,,,,,,,1,,20/10/2019,11:00
Sociedad,Betis,3,1,,,,,,,1,,20/10/2019,13:00
Espanol,Villarreal,0,1,,,,,,,3,,20/10/2019,15:00
AthBilbao,Valladolid,1,1,,,,,,,2,,20/10/2019,17:30
Sevilla,Levante,1,0,,,,,,,1,,20/10/2019,20:00
Villarreal,Alaves,4,1,,,,,,,1,,25/10/2019,20:00
Leganes,Mallorca,1,0,,,,,,,1,,26/10/2019,15:00
Valladolid,Eibar,2,0,,,,,,,1,,26/10/2019,17:30
AthMadrid,AthBilbao,2,0,,,,,,,1,,26/10/2019,20:00
Celta,Sociedad,0,1,,,,,,,3,,27/10/2019,11:00
Granada,Betis,1,0,,,,,,,1,,27/10/2019,13:00
Levante,Espanol,0,1,,,,,,,3,,27/10/2019,15:00
Sevilla,Getafe,2,0,,,,,,,1,,27/10/2019,17:30
Osasuna,Valencia,3,1,,,,,,,1,,27/10/2019,20:00
Alaves,AthMadrid,1,1,,,,,,,2,,29/10/2019,18:00
Barcelona,Valladolid,5,1,,,,,,,1,,29/10/2019,20:15
Sociedad,Levante,1,2,,,,,,,3,,30/10/2019,18:00
Valencia,Sevilla,1,1,,,,,,,2,,30/10/2019,18:00
AthBilbao,Espanol,3,0,,,,,,,1,,30/10/2019,19:00
Betis,Celta,2,1,,,,,,,1,,30/10/2019,20:00
RealMadrid,Leganes,5,0,,,,,,,1,,30/10/2019,20:15
Eibar,Villarreal,2,1,,,,,,,1,,31/10/2019,18:00
Mallorca,Osasuna,2,2,,,,,,,2,,31/10/2019,18:00
Getafe,Granada,3,1,,,,,,,1,,31/10/2019,20:15
Espanol,Valencia,1,2,,,,,,,3,,02/11/2019,12:00
Levante,Barcelona,3,1,,,,,,,1,,02/11/2019,15:00
Sevilla,AthMadrid,1,1,,,,,,,2,,02/11/2019,17:30
RealMadrid,Betis,0,0,,,,,,,2,,02/11/2019,20:00
Valladolid,Mallorca,3,0,,,,,,,1,,03/11/2019,11:00
