Mirandes,Alcorcon,2,2,,,,,,,2,,,,,,,,,20/09/2019,20:00
Cadiz,LaCoruna,0,0,,,,,,,2,,,,,,,,,21/09/2019,15:00
Zaragoza,Lugo,0,0,,,,,,,2,,,,,,,,,21/09/2019,17:00
Vallecano,Almeria,1,1,,,,,,,2,,,,,,,,,21/09/2019,19:00
Albacete,Malaga,1,0,,,,,,,1,,,,,,,,,21/09/2019,19:30
Ponferradina,Oviedo,2,1,,,,,,,1,,,,,,,,,22/09/2019,11:00
Girona,LasPalmas,1,0,,,,,,,1,,,,,,,,,22/09/2019,15:00
Numancia,Elche,1,1,,,,,,,2,,,,,,,,,22/09/2019,17:00
Gijon,Santander,1,1,,,,,,,2,,,,,,,,,22/09/2019,17:00
Extremadura,Huesca,0,1,,,,,,,3,,,,,,,,,22/09/2019,19:00
Tenerife,Fuenlabrada,0,1,,,,,,,3,,,,,,,,,22/09/2019,19:00
LasPalmas,Albacete,3,2,,,,,,,1,,,,,,,,,27/09/2019,20:00
Fuenlabrada,Vallecano,2,2,,,,,,,2,,,,,,,,,28/09/2019,15:00
Alcorcon,Extremadura,0,2,,,,,,,3,,,,,,,,,28/09/2019,17:00
Huesca,Girona,1,0,,,,,,,1,,,,,,,,,28/09/2019,17:00
Elche,Ponferradina,1,0,,,,,,,1,,,,,,,,,28/09/2019,19:00
Santander,Numancia,0,0,,,,,,,2,,,,,,,,,28/09/2019,19:00
Malaga,Gijon,0,0,,,,,,,2,,,,,,,,,29/09/2019,11:00
Almeria,Cadiz,1,2,,,,,,,3,,,,,,,,,29/09/2019,15:00
Oviedo,Zaragoza,2,2,,,,,,,2,,,,,,,,,29/09/2019,17:30
LaCoruna,Mirandes,1,1,,,,,,,2,,,,,,,,,29/09/2019,20:00
Lugo,Tenerife,1,4,,,,,,,3,,,,,,,,,29/09/2019,20:00
Albacete,Santander,0,0,,,,,,,2,,,,,,,,,01/10/2019,18:00
Extremadura,Elche,2,0,,,,,,,1,,,,,,,,,01/10/2019,18:00
Numancia,Fuenlabrada,1,0,,,,,,,1,,,,,,,,,01/10/2019,18:00
Vallecano,Alcorcon,1,1,,,,,,,2,,,,,,,,,01/10/2019,20:00
Cadiz,Huesca,1,0,,,,,,,1,,,,,,,,,02/10/2019,18:00
Mirandes,Lugo,1,1,,,,,,,2,,,,,,,,,02/10/2019,18:00
Ponferradina,LasPalmas,0,2,,,,,,,3,,,,,,,,,02/10/2019,20:00
Tenerife,Oviedo,0,1,,,,,,,3,,,,,,,,,02/10/2019,20:00
Gijon,Almeria,4,2,,,,,,,1,,,,,,,,,03/10/2019,18:00
Zaragoza,Malaga,2,2,,,,,,,2,,,,,,,,,03/10/2019,18:00
Girona,LaCoruna,3,1,,,,,,,1,,,,,,,,,03/10/2019,20:00
Alcorcon,Albacete,0,1,,,,,,,3,,,,,,,,,04/10/2019,20:00
Lugo,LasPalmas,0,2,,,,,,,3,,,,,,,,,05/10/2019,15:00
Elche,Vallecano,1,1,,,,,,,2,,,,,,,,,05/10/2019,17:00
Ponferradina,Mirandes,2,0,,,,,,,1,,,,,,,,,05/10/2019,19:00
Tenerife,Extremadura,1,2,,,,,,,3,,,,,,,,,05/10/2019,19:30
Fuenlabrada,Gijon,2,0,,,,,,,1,,,,,,,,,06/10/2019,11:00
Oviedo,Numancia,1,1,,,,,,,2,,,,,,,,,06/10/2019,15:00
Zaragoza,Cadiz,0,2,,,,,,,3,,,,,,,,,06/10/2019,15:00
LaCoruna,Almeria,0,0,,,,,,,2,,,,,,,,,06/10/2019,17:30
Huesca,Malaga,2,0,,,,,,,1,,,,,,,,,06/10/2019,19:00
Santander,Girona,0,3,,,,,,,3,,,,,,,,,06/10/2019,19:30
Vallecano,Tenerife,2,1,,,,,,,1,,,,,,,,,11/10/2019,20:00
Girona,Elche,0,2,,,,,,,3,,,,,,,,,12/10/2019,11:00
Almeria,Lugo,0,0,,,,,,,2,,,,,,,,,12/10/2019,15:00
Gijon,Alcorcon,1,3,,,,,,,3,,,,,,,,,12/10/2019,15:00
Extremadura,Ponferradina,1,1,,,,,,,2,,,,,,,,,12/10/2019,17:00
Malaga,Cadiz,1,2,,,,,,,3,,,,,,,,,12/10/2019,17:00
Mirandes,Fuenlabrada,2,1,,,,,,,1,,,,,,,,,13/10/2019,11:00
Numancia,Zaragoza,0,1,,,,,,,3,,,,,,,,,13/10/2019,15:00
Albacete,Oviedo,1,2,,,,,,,3,,,,,,,,,13/10/2019,17:00
Huesca,Santander,1,1,,,,,,,2,,,,,,,,,13/10/2019,17:00
LasPalmas,LaCoruna,3,0,,,,,,,1,,,,,,,,,13/10/2019,20:00
Fuenlabrada,Zaragoza,2,1,,,,,,,1,,,,,,,,,16/10/2019,20:00
Cadiz,LasPalmas,2,0,,,,,,,1,,,,,,,,,18/10/2019,20:00
Alcorcon,Almeria,2,2,,,,,,,2,,,,,,,,,19/10/2019,15:00
Ponferradina,Numancia,1,1,,,,,,,2,,,,,,,,,19/10/2019,15:00
Elche,Gijon,0,1,,,,,,,3,,,,,,,,,19/10/2019,17:00
Lugo,Huesca,3,2,,,,,,,1,,,,,,,,,19/10/2019,17:00
Extremadura,Vallecano,0,3,,,,,,,3,,,,,,,,,19/10/2019,19:00
Fuenlabrada,Albacete,0,1,,,,,,,3,,,,,,,,,20/10/2019,11:00
LaCoruna,Malaga,0,2,,,,,,,3,,,,,,,,,20/10/2019,15:00
Oviedo,Girona,4,2,,,,,,,1,,,,,,,,,20/10/2019,17:00
Tenerife,Santander,3,3,,,,,,,2,,,,,,,,,20/10/2019,17:00
Zaragoza,Mirandes,1,2,,,,,,,3,,,,,,,,,20/10/2019,20:00
Albacete,Cadiz,1,0,,,,,,,1,,,,,,,,,25/10/2019,20:00
Vallecano,Ponferradina,1,3,,,,,,,3,,,,,,,,,26/10/2019,15:00
Mirandes,Tenerife,0,0,,,,,,,2,,,,,,,,,26/10/2019,17:00
Santander,LaCoruna,1,1,,,,,,,2,,,,,,,,,26/10/2019,17:00
Malaga,Oviedo,2,1,,,,,,,1,,,,,,,,,26/10/2019,19:00
Numancia,Lugo,3,1,,,,,,,1,,,,,,,,,26/10/2019,19:00
