Dijon,Marseille,-137.1652242,,,,,,,,2,,0.2007443573,0.3571191037,0.4421365389
Angers,SaintEtienne,-11.90595528,,,,,,,,1,,0.2791695569,0.421856771,0.298973672
Monaco,Nice,49.783810538,,,,,,,,1,,0.3591946643,0.3711119157,0.2696934199
Montpellier,Nimes,108.7301917,,,,,,,,1,,0.4953498731,0.2397473097,0.2649028171
Lille,Strasbourg,156.40557585,,,,,,,,1,,0.60252581,0.152589454,0.2448847359
SaintEtienne,Metz,187.18255792,,,,,,,,3,,0.6524130987,0.1254778397,0.2221090615
Toulouse,Angers,43.312332046,,,,,,,,3,,0.3478571987,0.3810486393,0.2710941619
Nantes,Rennes,25.565544945,,,,,,,,1,,0.3208798574,0.4021527812,0.2769673613
Brest,Lyon,-156.1741366,,,,,,,,2,,0.1923012044,0.3351818957,0.4725168998
Lyon,Nantes,245.89298901,,,,,,,,3,,0.718549796,0.1069787429,0.174471461
Amiens,Bordeaux,21.509803616,,,,,,,,3,,0.3154789385,0.4057832654,0.278737796
Bordeaux,PSG,-194.9810955,,,,,,,,3,,0.1762720949,0.2821807174,0.5415471876
PSG,Reims,351.21076807,,,,,,,,3,,0.7920819784,0.1030258173,0.1048922042
Nice,Lille,81.160397579,,,,,,,,2,,0.4260025144,0.3069975426,0.2669999429
Reims,Dijon,175.12511012,,,,,,,,3,,0.634528188,0.1339253526,0.2315464593
Angers,Amiens,128.50477988,,,,,,,,2,,0.5438531583,0.1965976353,0.2595492063
Monaco,Brest,176.45874415,,,,,,,,1,,0.6366035425,0.1328692493,0.2305272081
Strasbourg,Montpellier,-33.78059805,,,,,,,,1,,0.2609462213,0.4220952024,0.3169585762
Nimes,SaintEtienne,27.915974736,,,,,,,,3,,0.3241313901,0.3998545818,0.276014028
Metz,Toulouse,60.297295219,,,,,,,,2,,0.3794448186,0.3523881472,0.2681670341
Marseille,Rennes,142.28763731,,,,,,,,2,,0.5745062764,0.1722284273,0.2532652962
Amiens,Marseille,-128.1526976,,,,,,,,1,,0.204947767,0.3664791067,0.4285731262
PSG,Angers,378.97508052,,,,,,,,1,,0.8059032082,0.1031378951,0.0909588966
Toulouse,Bordeaux,5.1619504438,,,,,,,,3,,0.2961023243,0.4164644687,0.2874332069
Montpellier,Monaco,18.398251988,,,,,,,,1,,0.3115069943,0.4082903981,0.2802026075
Nantes,Nice,49.24468308,,,,,,,,1,,0.3582176696,0.3719864608,0.2697958695
Brest,Metz,53.261045255,,,,,,,,1,,0.3656397102,0.3652683168,0.2690919729
Dijon,Strasbourg,30.71904259,,,,,,,,1,,0.3281308492,0.3969218527,0.274947298
Lille,Nimes,157.09029491,,,,,,,,2,,0.6037967946,0.1517672629,0.2444359424
Rennes,Reims,53.696260812,,,,,,,,3,,0.3664639531,0.3645123043,0.2690237425
Nice,PSG,-155.1321636,,,,,,,,3,,0.1927509246,0.3364594553,0.47078962
Toulouse,Lille,-34.82842703,,,,,,,,1,,0.2601486868,0.4219497191,0.317901594
Lyon,Dijon,265.78953334,,,,,,,,2,,0.7357061848,0.1049883872,0.1593054279
Reims,Montpellier,49.341480517,,,,,,,,1,,0.3583926449,0.3718300655,0.2697772895
SaintEtienne,Lyon,-43.66367347,,,,,,,,1,,0.2536485455,0.4202208464,0.326130608
Angers,Brest,122.7481283,,,,,,,,3,,0.5301836946,0.2082655091,0.2615507962
Nimes,Amiens,133.3011052,,,,,,,,2,,0.5548718832,0.1875316181,0.2575964986
Bordeaux,SaintEtienne,6.8864266961,,,,,,,,3,,0.2979836133,0.4156142092,0.2864021774
Monaco,Rennes,63.225537641,,,,,,,,1,,0.3854885429,0.3466269292,0.2678845278
Marseille,Strasbourg,221.00600808,,,,,,,,1,,0.6939105957,0.111648112,0.1944412922
Metz,Nantes,28.482072446,,,,,,,,1,,0.324928292,0.3992792747,0.2757924332
Nantes,Monaco,20.496504217,,,,,,,,3,,0.3141695112,0.4066257558,0.2792047329
Montpellier,Angers,128.76289576,,,,,,,,2,,0.5444550881,0.196094227,0.2594506848
Lille,Bordeaux,121.63094405,,,,,,,,1,,0.5274800761,0.2106240235,0.2618959003
Brest,Dijon,79.513534932,,,,,,,,1,,0.4220596083,0.3108920077,0.2670483839
Reims,Nimes,99.377987533,,,,,,,,2,,0.471497205,0.2624093636,0.2660934313
Strasbourg,Nice,-15.02470434,,,,,,,,1,,0.2763633748,0.4223067106,0.3013299145
Rennes,Toulouse,137.74482274,,,,,,,,1,,0.5647513263,0.1796873065,0.2555613671
