Castellon,Girona,0,1,,,,,,,3,,,,24/10/2020,19:30
Gijon,Ponferradina,2,1,,,,,,,1,,,,25/10/2020,15:00
Leganes,Oviedo,2,1,,,,,,,1,,,,25/10/2020,17:15
Tenerife,Espanol,0,0,,,,,,,2,,,,25/10/2020,17:15
Albacete,Vallecano,2,1,,,,,,,1,,,,25/10/2020,19:30
Malaga,Mirandes,1,1,,,,,,,2,,,,25/10/2020,19:30
Zaragoza,Sabadell,0,0,,,,,,,2,,,,25/10/2020,20:00
Alcorcon,Mallorca,0,2,,,,,,,3,,,,26/10/2020,17:00
Girona,Cartagena,2,1,,,,,,,1,,,,27/10/2020,18:00
Albacete,LasPalmas,1,1,,,,,,,2,,,,28/10/2020,18:00
Castellon,Almeria,1,2,,,,,,,3,,,,28/10/2020,18:00
Espanol,Ponferradina,2,0,,,,,,,1,,,,28/10/2020,18:00
Oviedo,Logrones,2,3,,,,,,,3,,,,28/10/2020,20:30
Alcorcon,Gijon,1,2,,,,,,,3,,,,29/10/2020,15:30
Mallorca,Malaga,3,1,,,,,,,1,,,,29/10/2020,18:00
Mirandes,Zaragoza,1,0,,,,,,,1,,,,29/10/2020,18:00
Tenerife,Lugo,1,1,,,,,,,2,,,,29/10/2020,18:00
Sabadell,Leganes,1,0,,,,,,,1,,,,29/10/2020,20:30
Vallecano,Fuenlabrada,2,0,,,,,,,1,,,,29/10/2020,20:30
Cartagena,Albacete,3,1,,,,,,,1,,,,31/10/2020,15:00
LasPalmas,Oviedo,1,2,,,,,,,3,,,,31/10/2020,17:15
Leganes,Mirandes,1,0,,,,,,,1,,,,01/11/2020,13:00
Zaragoza,Mallorca,0,0,,,,,,,2,,,,01/11/2020,15:00
Fuenlabrada,Tenerife,1,1,,,,,,,2,,,,01/11/2020,17:15
Ponferradina,Sabadell,0,3,,,,,,,3,,,,01/11/2020,17:15
Lugo,Vallecano,1,0,,,,,,,1,,,,01/11/2020,19:30
Almeria,Girona,0,0,,,,,,,2,,,,01/11/2020,20:00
Logrones,Alcorcon,1,0,,,,,,,1,,,,02/11/2020,15:00
Gijon,Castellon,1,0,,,,,,,1,,,,02/11/2020,17:15
Malaga,Espanol,0,3,,,,,,,3,,,,02/11/2020,20:00
Zaragoza,Girona,2,2,,,,,,,2,,,,04/11/2020,18:00
Alcorcon,Ponferradina,0,1,,,,,,,3,,,,05/11/2020,18:00
Sabadell,Almeria,1,2,,,,,,,3,,,,05/11/2020,18:00
Albacete,Leganes,0,0,,,,,,,2,,,,06/11/2020,20:00
Cartagena,Logrones,0,1,,,,,,,3,,,,07/11/2020,15:00
Mirandes,Gijon,1,0,,,,,,,1,,,,07/11/2020,17:15
Espanol,Lugo,2,1,,,,,,,1,,,,07/11/2020,20:00
Sabadell,Malaga,1,2,,,,,,,3,,,,08/11/2020,13:00
Alcorcon,Fuenlabrada,0,3,,,,,,,3,,,,08/11/2020,15:00
Vallecano,Almeria,0,1,,,,,,,3,,,,08/11/2020,15:00
Mallorca,Ponferradina,3,0,,,,,,,1,,,,08/11/2020,17:15
Oviedo,Castellon,4,0,,,,,,,1,,,,08/11/2020,17:15
Tenerife,Zaragoza,1,0,,,,,,,1,,,,08/11/2020,19:30
Girona,LasPalmas,1,1,,,,,,,2,,,,09/11/2020,20:00
Zaragoza,Oviedo,1,2,,,,,,,3,,,,13/11/2020,20:00
Fuenlabrada,Espanol,1,1,,,,,,,2,,,,14/11/2020,13:00
Almeria,Mirandes,2,1,,,,,,,1,,,,14/11/2020,15:15
Girona,Mallorca,0,1,,,,,,,3,,,,14/11/2020,17:30
Lugo,Albacete,1,0,,,,,,,1,,,,14/11/2020,17:30
Leganes,Alcorcon,1,0,,,,,,,1,,,,15/11/2020,13:00
Ponferradina,Malaga,1,1,,,,,,,2,,,,15/11/2020,15:15
Castellon,Cartagena,2,1,,,,,,,1,,,,15/11/2020,17:30
Logrones,Sabadell,1,0,,,,,,,1,,,,15/11/2020,17:30
LasPalmas,Tenerife,1,0,,,,,,,1,,,,15/11/2020,21:00
Gijon,Vallecano,1,1,,,,,,,2,,,,16/11/2020,20:00
Alcorcon,Lugo,1,0,,,,,,,1,,,,20/11/2020,18:00
Espanol,Girona,1,2,,,,,,,3,,,,20/11/2020,20:00
Malaga,Leganes,1,2,,,,,,,3,,,,21/11/2020,13:00
Mirandes,Cartagena,4,1,,,,,,,1,,,,21/11/2020,15:00
Vallecano,Castellon,2,1,,,,,,,1,,,,21/11/2020,17:15
Oviedo,Fuenlabrada,1,1,,,,,,,2,,,,21/11/2020,19:30
Sabadell,LasPalmas,3,1,,,,,,,1,,,,22/11/2020,13:00
Mallorca,Gijon,0,0,,,,,,,2,,,,22/11/2020,15:00
Tenerife,Logrones,0,1,,,,,,,3,,,,22/11/2020,17:15
Ponferradina,Zaragoza,2,1,,,,,,,1,,,,22/11/2020,20:00
Albacete,Almeria,1,2,,,,,,,3,,,,23/11/2020,20:00
Castellon,Alcorcon,0,2,,,,,,,3,,,,24/11/2020,18:00
Girona,Malaga,0,1,,,,,,,3,,,,24/11/2020,18:00
Lugo,Oviedo,0,0,,,,,,,2,,,,24/11/2020,20:30
LasPalmas,Mirandes,0,2,,,,,,,3,,,,25/11/2020,18:00
Gijon,Sabadell,3,1,,,,,,,1,,,,25/11/2020,18:00
Zaragoza,Vallecano,1,2,,,,,,,3,,,,25/11/2020,18:00
Cartagena,Mallorca,1,2,,,,,,,3,,,,25/11/2020,20:30
Fuenlabrada,Ponferradina,1,1,,,,,,,2,,,,25/11/2020,20:30
Leganes,Espanol,2,0,,,,,,,1,,,,26/11/2020,18:00
Logrones,Albacete,2,0,,,,,,,1,,,,26/11/2020,18:00
Almeria,Tenerife,2,0,,,,,,,1,,,,26/11/2020,20:30
Alcorcon,Girona,1,0,,,,,,,1,,,,27/11/2020,18:00
Malaga,Lugo,2,2,,,,,,,2,,,,27/11/2020,20:00
Sabadell,Fuenlabrada,1,2,,,,,,,3,,,,28/11/2020,15:00
Vallecano,Cartagena,0,0,,,,,,,2,,,,28/11/2020,17:15
Mirandes,Castellon,1,1,,,,,,,2,,,,28/11/2020,19:30
Albacete,Tenerife,0,2,,,,,,,3,,,,29/11/2020,13:00
Espanol,Zaragoza,2,0,,,,,,,1,,,,29/11/2020,15:00
Mallorca,Logrones,4,0,,,,,,,1,,,,29/11/2020,17:15
Ponferradina,Leganes,3,2,,,,,,,1,,,,29/11/2020,17:15
LasPalmas,Gijon,3,2,,,,,,,1,,,,29/11/2020,20:00
Oviedo,Almeria,1,2,,,,,,,3,,,,30/11/2020,20:00
Fuenlabrada,Malaga,0,2,,,,,,,3,,,,01/12/2020,18:00
Girona,Mirandes,1,0,,,,,,,1,,,,01/12/2020,20:30
Cartagena,Espanol,1,3,,,,,,,3,,,,02/12/2020,18:00
Leganes,Vallecano,1,0,,,,,,,1,,,,02/12/2020,18:00
Logrones,Ponferradina,1,2,,,,,,,3,,,,02/12/2020,18:00
Castellon,Zaragoza,1,0,,,,,,,1,,,,02/12/2020,20:00
Lugo,LasPalmas,1,1,,,,,,,2,,,,02/12/2020,20:30
Almeria,Mallorca,0,1,,,,,,,3,,,,03/12/2020,18:00
Oviedo,Alcorcon,1,1,,,,,,,2,,,,03/12/2020,18:00
Tenerife,Sabadell,1,2,,,,,,,3,,,,03/12/2020,18:00
Gijon,Albacete,0,0,,,,,,,2,,,,03/12/2020,20:30
Vallecano,Logrones,2,1,,,,,,,1,,,,05/12/2020,13:00
Ponferradina,LasPalmas,0,0,,,,,,,2,,,,05/12/2020,15:00
Mirandes,Lugo,0,0,,,,,,,2,,,,05/12/2020,17:15
Malaga,Cartagena,1,2,,,,,,,3,,,,05/12/2020,19:30
Alcorcon,Almeria,0,1,,,,,,,3,,,,06/12/2020,13:00
Espanol,Gijon,2,0,,,,,,,1,,,,06/12/2020,15:00
Albacete,Girona,0,2,,,,,,,3,,,,06/12/2020,17:15
Sabadell,Oviedo,0,1,,,,,,,3,,,,06/12/2020,19:30
Zaragoza,Fuenlabrada,1,0,,,,,,,1,,,,06/12/2020,20:00
Tenerife,Leganes,0,0,,,,,,,2,,,,07/12/2020,18:00
Mallorca,Castellon,3,1,,,,,,,1,,,,07/12/2020,20:00
Almeria,Zaragoza,1,0,,,,,,,1,,,,09/12/2020,18:00
Sabadell,Alcorcon,1,1,,,,,,,2,,,,09/12/2020,18:00
Girona,Logrones,2,0,,,,,,,1,,,,10/12/2020,18:00
Lugo,Ponferradina,1,0,,,,,,,1,,,,11/12/2020,18:00
Oviedo,Tenerife,4,2,,,,,,,1,,,,11/12/2020,20:00
Leganes,Mallorca,0,1,,,,,,,3,,,,12/12/2020,15:00
Castellon,Albacete,3,0,,,,,,,1,,,,12/12/2020,17:15
Fuenlabrada,Mirandes,0,1,,,,,,,3,,,,12/12/2020,19:30
Logrones,Espanol,0,3,,,,,,,3,,,,13/12/2020,13:00
Almeria,Malaga,3,1,,,,,,,1,,,,13/12/2020,15:00
LasPalmas,Alcorcon,0,0,,,,,,,2,,,,13/12/2020,17:15
Cartagena,Sabadell,1,2,,,,,,,3,,,,13/12/2020,19:30
Gijon,Zaragoza,1,0,,,,,,,1,,,,13/12/2020,20:00
Girona,Vallecano,0,0,,,,,,,2,,,,14/12/2020,18:00
Ponferradina,Oviedo,1,0,,,,,,,1,,,,18/12/2020,18:00
Sabadell,Castellon,1,1,,,,,,,2,,,,19/12/2020,15:00
Mallorca,Fuenlabrada,2,3,,,,,,,3,,,,19/12/2020,17:15
Zaragoza,Lugo,1,0,,,,,,,1,,,,19/12/2020,20:00
Alcorcon,Cartagena,2,1,,,,,,,1,,,,20/12/2020,13:00
Espanol,Almeria,2,1,,,,,,,1,,,,20/12/2020,15:00
Vallecano,LasPalmas,2,0,,,,,,,1,,,,20/12/2020,17:15
Malaga,Logrones,0,0,,,,,,,2,,,,20/12/2020,19:30
Mirandes,Albacete,0,2,,,,,,,3,,,,21/12/2020,18:00
Gijon,Leganes,1,1,,,,,,,2,,,,21/12/2020,20:00
Tenerife,Girona,2,0,,,,,,,1,,,,21/12/2020,20:30
Fuenlabrada,Leganes,0,0,,,,,,,2,,,,02/01/2021,13:00
Vallecano,Alcorcon,2,1,,,,,,,1,,,,02/01/2021,15:00
Logrones,Mirandes,2,1,,,,,,,1,,,,02/01/2021,17:15
Cartagena,Zaragoza,1,1,,,,,,,2,,,,02/01/2021,19:30
Castellon,Tenerife,0,1,,,,,,,3,,,,03/01/2021,13:00
LasPalmas,Espanol,1,0,,,,,,,1,,,,03/01/2021,15:00
Albacete,Malaga,1,1,,,,,,,2,,,,03/01/2021,17:15
Almeria,Ponferradina,3,1,,,,,,,1,,,,03/01/2021,19:30
Oviedo,Mallorca,2,2,,,,,,,2,,,,03/01/2021,20:00
Girona,Sabadell,0,0,,,,,,,2,,,,04/01/2021,17:30
Lugo,Gijon,0,0,,,,,,,2,,,,04/01/2021,20:00
Zaragoza,Logrones,2,0,,,,,,,1,,,,08/01/2021,20:00
Malaga,Oviedo,1,1,,,,,,,2,,,,09/01/2021,17:15
Mallorca,LasPalmas,0,1,,,,,,,3,,,,10/01/2021,15:00
Tenerife,Cartagena,3,0,,,,,,,1,,,,10/01/2021,17:15
Espanol,Castellon,2,0,,,,,,,1,,,,10/01/2021,20:00
Ponferradina,Girona,1,1,,,,,,,2,,,,11/01/2021,18:00
Gijon,Fuenlabrada,2,1,,,,,,,1,,,,11/01/2021,18:00
Sabadell,Lugo,1,1,,,,,,,2,,,,11/01/2021,20:30
Mirandes,Vallecano,0,2,,,,,,,3,,,,19/01/2021,18:00
Fuenlabrada,Alcorcon,0,0,,,,,,,2,,,,22/01/2021,18:00
Albacete,Zaragoza,1,0,,,,,,,1,,,,22/01/2021,20:00
Vallecano,Mallorca,1,3,,,,,,,3,,,,23/01/2021,15:00
Girona,Espanol,1,0,,,,,,,1,,,,23/01/2021,17:15
Lugo,Tenerife,2,0,,,,,,,1,,,,23/01/2021,17:15
Malaga,Ponferradina,0,2,,,,,,,3,,,,23/01/2021,19:30
Almeria,Sabadell,2,2,,,,,,,2,,,,24/01/2021,13:00
Logrones,Oviedo,0,0,,,,,,,2,,,,24/01/2021,15:00
Castellon,Gijon,2,0,,,,,,,1,,,,24/01/2021,17:15
LasPalmas,Leganes,2,1,,,,,,,1,,,,24/01/2021,19:30
Cartagena,Mirandes,0,2,,,,,,,3,,,,25/01/2021,20:00
Alcorcon,Albacete,1,2,,,,,,,3,,,,26/01/2021,18:00
Zaragoza,Ponferradina,1,0,,,,,,,1,,,,29/01/2021,20:00
Oviedo,Albacete,0,1,,,,,,,3,,,,30/01/2021,15:00
Alcorcon,Malaga,0,1,,,,,,,3,,,,30/01/2021,17:15
Mallorca,Girona,1,0,,,,,,,1,,,,30/01/2021,19:30
Almeria,Castellon,3,1,,,,,,,1,,,,30/01/2021,20:00
Gijon,Cartagena,0,0,,,,,,,2,,,,31/01/2021,13:00
Espanol,Vallecano,2,3,,,,,,,3,,,,31/01/2021,15:00
Mirandes,LasPalmas,2,0,,,,,,,1,,,,31/01/2021,17:15
Tenerife,Fuenlabrada,1,1,,,,,,,2,,,,31/01/2021,19:30
Leganes,Lugo,3,2,,,,,,,1,,,,01/02/2021,18:00
Sabadell,Logrones,0,0,,,,,,,2,,,,01/02/2021,20:00
Albacete,Mallorca,0,1,,,,,,,3,,,,05/02/2021,20:00
Cartagena,Oviedo,2,0,,,,,,,1,,,,06/02/2021,15:00
Logrones,Gijon,0,4,,,,,,,3,,,,06/02/2021,17:15
Fuenlabrada,Almeria,1,1,,,,,,,2,,,,06/02/2021,19:30
Girona,Leganes,0,2,,,,,,,3,,,,07/02/2021,13:00
Malaga,Zaragoza,1,2,,,,,,,3,,,,07/02/2021,15:00
Castellon,Mirandes,0,1,,,,,,,3,,,,07/02/2021,17:15
Vallecano,Tenerife,0,1,,,,,,,3,,,,07/02/2021,17:15
LasPalmas,Sabadell,0,1,,,,,,,3,,,,07/02/2021,19:30
Ponferradina,Alcorcon,2,0,,,,,,,1,,,,08/02/2021,18:00
Lugo,Espanol,1,1,,,,,,,2,,,,08/02/2021,20:00
Sabadell,Zaragoza,1,1,,,,,,,2,,,,12/02/2021,20:00
Cartagena,Vallecano,2,2,,,,,,,2,,,,13/02/2021,15:00
Mirandes,Girona,3,3,,,,,,,2,,,,13/02/2021,17:15
Tenerife,Ponferradina,1,0,,,,,,,1,,,,13/02/2021,19:30
Mallorca,Espanol,1,2,,,,,,,3,,,,14/02/2021,13:00
Almeria,LasPalmas,3,1,,,,,,,1,,,,14/02/2021,15:00
Alcorcon,Logrones,1,0,,,,,,,1,,,,14/02/2021,17:15
Leganes,Albacete,3,1,,,,,,,1,,,,14/02/2021,17:15
Gijon,Malaga,1,0,,,,,,,1,,,,14/02/2021,20:00
Castellon,Fuenlabrada,1,2,,,,,,,3,,,,15/02/2021,18:00
Oviedo,Lugo,3,1,,,,,,,1,,,,15/02/2021,20:00
Leganes,Almeria,2,1,,,,,,,1,,,,17/02/2021,18:00
Ponferradina,Mirandes,1,0,,,,,,,1,,,,19/02/2021,20:00
Espanol,Sabadell,1,0,,,,,,,1,,,,20/02/2021,15:00
Albacete,Gijon,0,1,,,,,,,3,,,,20/02/2021,17:15
LasPalmas,Cartagena,2,0,,,,,,,1,,,,20/02/2021,19:30
Leganes,Tenerife,1,0,,,,,,,1,,,,21/02/2021,13:00
Mallorca,Almeria,2,0,,,,,,,1,,,,21/02/2021,15:00
Girona,Castellon,2,1,,,,,,,1,,,,21/02/2021,17:15
Lugo,Logrones,1,1,,,,,,,2,,,,21/02/2021,19:30
Malaga,Vallecano,2,0,,,,,,,1,,,,21/02/2021,20:00
Fuenlabrada,Oviedo,2,2,,,,,,,2,,,,22/02/2021,18:00
Zaragoza,Alcorcon,0,1,,,,,,,3,,,,22/02/2021,20:00
Sabadell,Albacete,0,0,,,,,,,2,,,,26/02/2021,18:00
Cartagena,Leganes,1,0,,,,,,,1,,,,26/02/2021,20:00
Vallecano,Ponferradina,1,1,,,,,,,2,,,,27/02/2021,15:00
Almeria,Lugo,4,1,,,,,,,1,,,,27/02/2021,17:15
Castellon,LasPalmas,4,0,,,,,,,1,,,,27/02/2021,19:30
Logrones,Mallorca,0,1,,,,,,,3,,,,27/02/2021,20:00
Fuenlabrada,Girona,1,1,,,,,,,2,,,,28/02/2021,13:00
Gijon,Espanol,1,1,,,,,,,2,,,,28/02/2021,15:00
Tenerife,Alcorcon,3,1,,,,,,,1,,,,28/02/2021,17:15
Oviedo,Zaragoza,1,0,,,,,,,1,,,,28/02/2021,20:00
Mirandes,Malaga,1,0,,,,,,,1,,,,01/03/2021,18:00
Espanol,Oviedo,1,1,,,,,,,2,,,,05/03/2021,20:00
Zaragoza,Tenerife,1,0,,,,,,,1,,,,06/03/2021,15:00
LasPalmas,Vallecano,1,1,,,,,,,2,,,,06/03/2021,17:15
Leganes,Castellon,0,0,,,,,,,2,,,,06/03/2021,17:15
Albacete,Logrones,1,1,,,,,,,2,,,,06/03/2021,19:30
Malaga,Sabadell,2,0,,,,,,,1,,,,07/03/2021,13:00
Ponferradina,Gijon,2,2,,,,,,,2,,,,07/03/2021,15:00
Mallorca,Cartagena,2,1,,,,,,,1,,,,07/03/2021,17:15
Girona,Almeria,0,1,,,,,,,3,,,,07/03/2021,20:00
Alcorcon,Mirandes,4,0,,,,,,,1,,,,08/03/2021,18:00
Lugo,Fuenlabrada,0,0,,,,,,,2,,,,08/03/2021,20:00
Cartagena,Ponferradina,1,1,,,,,,,2,,,,12/03/2021,18:00
Vallecano,Zaragoza,3,2,,,,,,,1,,,,12/03/2021,20:00
Fuenlabrada,LasPalmas,1,2,,,,,,,3,,,,13/03/2021,15:00
Girona,Lugo,1,1,,,,,,,2,,,,13/03/2021,17:15
