Marseille,Toulouse,4,0,,,,1.48,4.87,8.79,1,,,,,,,,,,,,,,,,,10/08/2018,,,,,,,,,,,,,,,1.43,,4.53,,7.64
Angers,Nimes,3,4,,,,2.35,3.38,3.49,3,,,,,,,,,,,,,,,,,11/08/2018,,,,,,,,,,,,,,,2.28,,3.21,,3.31
Lille,Rennes,3,1,,,,2.63,3.39,3.1,1,,,,,,,,,,,,,,,,,11/08/2018,,,,,,,,,,,,,,,2.49,,3.2,,2.95
Montpellier,Dijon,1,2,,,,1.78,3.82,5.75,3,,,,,,,,,,,,,,,,,11/08/2018,,,,,,,,,,,,,,,1.71,,3.62,,5.22
Nantes,Monaco,1,3,,,,3.35,3.44,2.41,3,,,,,,,,,,,,,,,,,11/08/2018,,,,,,,,,,,,,,,3.15,,3.27,,2.34
Nice,Reims,0,1,,,,1.97,3.64,4.6,3,,,,,,,,,,,,,,,,,11/08/2018,,,,,,,,,,,,,,,1.87,,3.49,,4.29
SaintEtienne,Guingamp,2,1,,,,1.9,3.76,4.81,1,,,,,,,,,,,,,,,,,11/08/2018,,,,,,,,,,,,,,,1.82,,3.54,,4.51
Bordeaux,Strasbourg,0,2,,,,1.85,3.8,5.2,3,,,,,,,,,,,,,,,,,12/08/2018,,,,,,,,,,,,,,,1.76,,3.54,,4.84
Lyon,Amiens,2,0,,,,1.26,7.01,15,1,,,,,,,,,,,,,,,,,12/08/2018,,,,,,,,,,,,,,,1.22,,6.35,,12.68
PSG,Caen,3,0,,,,1.12,13,41,1,,,,,,,,,,,,,,,,,12/08/2018,,,,,,,,,,,,,,,1.09,,10.42,,24.34
Reims,Lyon,1,0,,,,5.2,4.23,1.74,1,,,,,,,,,,,,,,,,,17/08/2018,,,,,,,,,,,,,,,4.81,,3.99,,1.69
Amiens,Montpellier,1,2,,,,3.3,3.21,2.6,3,,,,,,,,,,,,,,,,,18/08/2018,,,,,,,,,,,,,,,3.15,,3.02,,2.46
Caen,Nice,1,1,,,,2.9,3.34,3,2,,,,,,,,,,,,,,,,,18/08/2018,,,,,,,,,,,,,,,2.76,,3.11,,2.7
Dijon,Nantes,2,0,,,,2.7,3.51,2.93,1,,,,,,,,,,,,,,,,,18/08/2018,,,,,,,,,,,,,,,2.57,,3.25,,2.81
Guingamp,PSG,1,3,,,,13,7.03,1.29,3,,,,,,,,,,,,,,,,,18/08/2018,,,,,,,,,,,,,,,10.99,,6.23,,1.25
Monaco,Lille,0,0,,,,1.58,4.67,7.2,2,,,,,,,,,,,,,,,,,18/08/2018,,,,,,,,,,,,,,,1.52,,4.36,,6
Rennes,Angers,1,0,,,,1.99,3.51,4.75,1,,,,,,,,,,,,,,,,,18/08/2018,,,,,,,,,,,,,,,1.89,,3.34,,4.41
Nimes,Marseille,3,1,,,,4.9,4.2,1.84,1,,,,,,,,,,,,,,,,,19/08/2018,,,,,,,,,,,,,,,4.37,,3.88,,1.75
