Reims,Lorient,1,3,None,None,None,2020-10-17T15:00:00Z
Reims,Strasbourg,2,1,None,None,None,2020-11-01T14:00:00Z
Angers,Nice,0,3,None,None,None,2020-11-01T14:00:00Z
Dijon,Lorient,0,0,None,None,None,2020-11-01T14:00:00Z
Nice,Lille,1,1,None,None,None,2020-10-25T16:00:00Z
Nantes,PSG,0,3,None,None,None,2020-10-31T20:00:00Z
Lille,Lyon,1,1,None,None,None,2020-11-01T20:00:00Z
Monaco,Bordeaux,4,0,None,None,None,2020-11-01T16:00:00Z
Nimes,Metz,0,1,None,None,None,2020-11-01T14:00:00Z
Bordeaux,Montpellier,0,2,None,None,None,2020-11-07T16:00:00Z
PSG,Rennes,3,0,None,None,None,2020-11-07T20:00:00Z
Strasbourg,Marseille,0,1,None,None,None,2020-11-06T20:00:00Z
Brest,Lille,3,2,None,None,None,2020-11-08T12:00:00Z
Lens,Reims,4,4,None,None,None,2020-11-08T14:00:00Z
Nimes,Angers,1,5,None,None,None,2020-11-08T14:00:00Z
Metz,Dijon,1,1,None,None,None,2020-11-08T14:00:00Z
Lorient,Nantes,0,2,None,None,None,2020-11-08T14:00:00Z
Nice,Monaco,1,2,None,None,None,2020-11-08T16:00:00Z
Lyon,SaintEtienne,2,1,None,None,None,2020-11-08T20:00:00Z
Rennes,Bordeaux,0,1,None,None,None,2020-11-20T18:00:00Z
Monaco,PSG,3,2,None,None,None,2020-11-20T20:00:00Z
Brest,SaintEtienne,4,1,None,None,None,2020-11-21T16:00:00Z
Nantes,Metz,1,1,None,None,None,2020-11-22T12:00:00Z
Dijon,Lens,0,1,None,None,None,2020-11-22T14:00:00Z
Montpellier,Strasbourg,4,3,None,None,None,2020-11-22T14:00:00Z
Angers,Lyon,0,1,None,None,None,2020-11-22T16:00:00Z
Reims,Nimes,0,1,None,None,None,2020-11-22T14:00:00Z
Lille,Lorient,4,0,None,None,None,2020-11-22T20:00:00Z
Lens,Nantes,1,1,None,None,None,2020-11-25T18:00:00Z
Marseille,Nantes,3,1,None,None,None,2020-11-28T16:00:00Z
Strasbourg,Rennes,1,1,None,None,None,2020-11-27T20:00:00Z
Lyon,Reims,3,0,None,None,None,2020-11-29T12:00:00Z
PSG,Bordeaux,2,2,None,None,None,2020-11-28T20:00:00Z
Lorient,Montpellier,0,1,None,None,None,2020-11-29T14:00:00Z
Monaco,Nimes,3,0,None,None,None,2020-11-29T14:00:00Z
Metz,Brest,0,2,None,None,None,2020-11-29T14:00:00Z
Lens,Angers,1,3,None,None,None,2020-11-29T14:00:00Z
Nice,Dijon,1,3,None,None,None,2020-11-29T16:00:00Z
SaintEtienne,Lille,1,1,None,None,None,2020-11-29T20:00:00Z
Nimes,Marseille,0,2,None,None,None,2020-12-04T20:00:00Z
Rennes,Lens,0,2,None,None,None,2020-12-05T16:00:00Z
Montpellier,PSG,1,3,None,None,None,2020-12-05T20:00:00Z
Bordeaux,Brest,1,0,None,None,None,2020-12-06T14:00:00Z
Angers,Lorient,2,0,None,None,None,2020-12-06T14:00:00Z
Lille,Monaco,2,1,None,None,None,2020-12-06T12:00:00Z
Nantes,Strasbourg,0,4,None,None,None,2020-12-06T14:00:00Z
Dijon,SaintEtienne,0,0,None,None,None,2020-12-06T14:00:00Z
SaintEtienne,Angers,0,0,None,None,None,2020-12-11T20:00:00Z
Reims,Nice,0,0,None,None,None,2020-12-06T16:00:00Z
Metz,Lyon,1,3,None,None,None,2020-12-06T20:00:00Z
Marseille,Monaco,2,1,None,None,None,2020-12-12T16:00:00Z
Nice,Rennes,0,1,None,None,None,2020-12-13T12:00:00Z
Lens,Montpellier,2,3,None,None,None,2020-12-12T20:00:00Z
Brest,Reims,2,1,None,None,None,2020-12-13T14:00:00Z
Nantes,Dijon,1,1,None,None,None,2020-12-13T14:00:00Z
Strasbourg,Metz,2,2,None,None,None,2020-12-13T14:00:00Z
Lorient,Nimes,3,0,None,None,None,2020-12-13T14:00:00Z
Lille,Bordeaux,2,1,None,None,None,2020-12-13T16:00:00Z
PSG,Lyon,0,1,None,None,None,2020-12-13T20:00:00Z
Montpellier,Metz,0,2,None,None,None,2020-12-16T18:00:00Z
Reims,Nantes,3,2,None,None,None,2020-12-16T18:00:00Z
Angers,Strasbourg,0,2,None,None,None,2020-12-16T18:00:00Z
Nimes,Nice,0,2,None,None,None,2020-12-16T18:00:00Z
PSG,Lorient,2,0,None,None,None,2020-12-16T20:00:00Z
Dijon,Lille,0,2,None,None,None,2020-12-16T18:00:00Z
Bordeaux,SaintEtienne,1,2,None,None,None,2020-12-16T20:00:00Z
Rennes,Marseille,2,1,None,None,None,2020-12-16T20:00:00Z
Lyon,Brest,2,2,None,None,None,2020-12-16T20:00:00Z
Monaco,Lens,0,3,None,None,None,2020-12-16T20:00:00Z
Marseille,Reims,1,1,None,None,None,2020-12-19T18:00:00Z
Metz,Lens,2,0,None,None,None,2020-12-19T16:00:00Z
Nice,Lyon,1,4,None,None,None,2020-12-19T20:00:00Z
