Amiens,Nantes,1,2,56.336375824081,,140.230174736687,2.85,3.12,2.95,3,,0.300084418441263,0.482944174107439,0.216971407451298,,0.855240592557599,1.50678582321521,0.640065651981328,,,,,,,,,,24/08/2019,19:00,,,,,,,,,,,,,,,2.7,3,2.86
Angers,Metz,3,0,70.1566914169705,,140.230174736687,2.2,3.29,4.3,1,,0.309435036373531,0.483942394401598,0.206622569224871,,0.680757080021768,1.59217047758126,0.888477047666945,,,,,,,,,,24/08/2019,19:00,,,,,,,,,,,,,,,2.12,3.18,3.78
Brest,Reims,1,0,-62.6159037835478,,140.230174736687,2.77,3.24,2.94,1,,0.218225494934925,0.468845912665928,0.312928592399147,,0.604484620969744,1.51906075703761,0.920010061653492,,,,,,,,,,24/08/2019,19:00,,,,,,,,,,,,,,,2.67,3.05,2.85
Dijon,Bordeaux,0,2,33.8751875837861,,107.735540514213,2.74,3.36,2.86,3,,0.284671226550308,0.481091716032835,0.234237057416857,,0.779999160747844,1.61646816587033,0.669917984212211,,,,,,,,,,24/08/2019,19:00,,,,,,,,,,,,,,,2.64,3.21,2.76
Monaco,Nimes,2,2,125.523666641135,,107.735540514213,1.66,4.3,6,2,,0.345319652907288,0.487027038276665,0.167653308816048,,0.573230623826098,2.09421626458966,1.00591985289629,,,,,,,,,,25/08/2019,14:00,,,,,,,,,,,,,,,1.62,4,5.42
Strasbourg,Rennes,0,2,-45.2441996101175,,107.735540514213,2.85,3.28,2.92,3,,0.229952595774945,0.471681759145542,0.298365645079514,,0.655364897958592,1.54711616999738,0.87122768363218,,,,,,,,,,25/08/2019,16:00,,,,,,,,,,,,,,,2.67,3.1,2.81
PSG,Toulouse,4,0,423.409650949975,,81.8829719621372,1.13,11.25,41,1,,0.472300755839401,0.486423537891261,0.041275706269338,,0.533699854098523,5.47226480127669,1.69230395704286,,,,,,,,,,25/08/2019,20:00,,,,,,,,,,,,,,,1.1,10.12,22.7
Montpellier,Lyon,1,0,-101.930911328863,,81.8829719621372,3.75,3.6,2.12,1,,0.192601615724638,0.461070703655963,0.346327680619399,,0.722256058967392,1.65985453316147,0.734214682913127,,,,,,,,,,27/08/2019,18:00,,,,,,,,,,,,,,,3.56,3.47,2.07
Lille,SaintEtienne,3,0,51.1780657605207,,81.8829719621372,2.3,3.54,3.45,1,,0.296565453462993,0.482544882416589,0.220889664120418,,0.682100542964884,1.70820888375472,0.762069341215442,,,,,,,,,,28/08/2019,18:00,,,,,,,,,,,,,,,2.24,3.35,3.25
Nice,Marseille,1,2,0.920189091286829,,81.8829719621372,3.1,3.44,2.53,3,,0.261800767275793,0.477781566667871,0.260417666056335,,0.81158237855496,1.64356858933748,0.658856695122528,,,,,,,,,,28/08/2019,20:00,,,,,,,,,,,,,,,3,3.22,2.44
Metz,PSG,0,2,-214.766788311582,,81.8829719621372,8.2,4.85,1.46,3,,0.129745644239214,0.423560727531297,0.446693628229489,,1.06391428276156,2.05426952852679,0.652172697215054,,,,,,,,,,30/08/2019,19:45,,,,,,,,,,,,,,,7.6,4.65,1.43
Lyon,Bordeaux,1,1,241.859258007671,,81.8829719621372,1.43,5.2,8.8,2,,0.408573554592188,0.48988996436323,0.101536481044582,,0.584260183066828,2.5474278146888,0.893521033192326,,,,,,,,,,31/08/2019,16:30,,,,,,,,,,,,,,,1.39,4.88,8.01
Angers,Dijon,2,0,104.73630087247,,81.8829719621372,1.75,3.93,5.5,1,,0.332192543398153,0.486026188972126,0.181781267629721,,0.581336950946768,1.91008292266045,0.999796971963467,,,,,,,,,,31/08/2019,19:00,,,,,,,,,,,,,,,1.71,3.74,5.04
Nantes,Montpellier,1,0,16.7882065666884,,81.8829719621372,2.3,3.22,3.8,1,,0.272831049821277,0.479470506585971,0.247698443592752,,0.627511414588937,1.54389503120683,0.941254085652458,,,,,,,,,,31/08/2019,19:00,,,,,,,,,,,,,,,2.23,3.1,3.57
Nimes,Brest,3,0,123.69851067382,,61.8218271014821,2.16,3.46,4.2,1,,0.344186063004116,0.486946075370624,0.16886786162526,,0.74344189608889,1.68483342078236,0.709245018826091,,,,,,,,,,31/08/2019,19:00,,,,,,,,,,,,,,,2.08,3.32,3.71
Toulouse,Amiens,2,0,95.7098182599878,,61.8218271014821,2.2,3.3,4.2,1,,0.326353747606789,0.485535310267994,0.188110942125216,,0.717978244734937,1.60226652388438,0.790065956925908,,,,,,,,,,31/08/2019,19:00,,,,,,,,,,,,,,,2.14,3.15,3.75
Reims,Lille,2,0,46.0656136936034,,61.8218271014821,2.98,3.13,2.8,1,,0.293064431700078,0.482134133675861,0.224801434624062,,0.873332006466231,1.50907983840544,0.629444016947372,,,,,,,,,,01/09/2019,14:00,,,,,,,,,,,,,,,2.88,2.98,2.71
Rennes,Nice,1,2,73.4278546184364,,61.8218271014821,1.76,3.7,5.85,3,,0.311629655839418,0.484164040841429,0.204206303319152,,0.548468194277377,1.79140695111329,1.19460687441704,,,,,,,,,,01/09/2019,14:00,,,,,,,,,,,,,,,1.71,3.56,5.42
Strasbourg,Monaco,2,2,-96.0870448116082,,61.8218271014821,2.72,3.32,2.9,2,,0.196314509217136,0.462358988267612,0.341326502515252,,0.533975465070609,1.53503184104847,0.989846857294232,,,,,,,,,,01/09/2019,16:00,,,,,,,,,,,,,,,2.64,3.21,2.77
Marseille,SaintEtienne,1,0,125.580874001373,,94.8984730725683,2.05,3.65,4.05,1,,0.345355122371422,0.487029555157237,0.167615322471341,,0.707978000861415,1.77765787632392,0.678842056008931,,,,,,,,,,01/09/2019,20:00,,,,,,,,,,,,,,,1.99,3.5,3.82
Lille,Angers,2,1,145.042528579408,,94.8984730725683,2.03,3.4,4.5,1,,0.357196363193259,0.487814697179763,0.154988939626978,,0.725108617282315,1.65856997041119,0.697450228321403,,,,,,,,,,13/09/2019,18:00,,,,,,,,,,,,,,,1.96,3.3,4.27
Amiens,Lyon,2,2,-155.050970901054,,94.8984730725683,5.45,3.95,1.8,2,,0.160758950171098,0.44677455315914,0.392466496669763,,0.876136278432482,1.7647594849786,0.706439694005573,,,,,,,,,,13/09/2019,19:45,,,,,,,,,,,,,,,5.07,3.74,1.71
PSG,Strasbourg,1,0,403.566342759006,,94.8984730725683,1.22,7.7,17,1,,0.466925711583754,0.487330520730233,0.045743767686014,,0.569649368132179,3.75244500962279,0.777644050662229,,,,,,,,,,14/09/2019,16:30,,,,,,,,,,,,,,,1.2,7.14,13.3
Bordeaux,Metz,2,0,114.476850921522,,94.8984730725683,1.91,3.56,4.95,1,,0.338401542313569,0.486516978779215,0.175081478907217,,0.646346945818916,1.732000444454,0.866653320590723,,,,,,,,,,14/09/2019,19:00,,,,,,,,,,,,,,,1.85,3.37,4.71
