,home,away
Huesca,1659.55505371,1592.55505371
Vallecano,1642.0345459,1575.0345459
Girona,1636.7208252,1569.7208252
Elche,1626.89367676,1559.89367676
Cadiz,1619.78161621,1552.78161621
Malaga,1617.44567871,1550.44567871
Almeria,1604.15527344,1537.15527344
Tenerife,1595.65942383,1528.65942383
LasPalmas,1594.67944336,1527.67944336
Oviedo,1590.97143555,1523.97143555
Gijon,1587.58947754,1520.58947754
Fuenlabrada,1585.31494141,1518.31494141
Depor,1583.97521973,1516.97521973
Alcorcon,1581.08886719,1514.08886719
Zaragoza,1577.359375,1510.359375
Albacete,1577.05444336,1510.05444336
Lugo,1562.40100098,1495.40100098
Mirandes,1561.7322998,1494.7322998
Numancia,1535.44616699,1468.44616699
Extremadura,1526.7220459,1459.7220459
Ponferradina,1523.70324707,1456.70324707
Cartagena,1499.51586914,1432.51586914
Sabadell,1499.51586914,1432.51586914
Castellon,1499.51586914,1432.51586914
Logrones,1499.51586914,1432.51586914
Santander,1475.87036133,1408.87036133
Leganes,1729.91564941,1662.91564941
Espanol,1674.29333496,1607.29333496
Mallorca,1670.73730469,1603.73730469
