,Home,Away
Arsenal,1933.6849414429,1823.27387004171
AstonVilla,1696.17026591938,1606.70018191807
Fulham,1696.65144734593,1632
Brighton,1709.30619893743,1679.96011724219
Burnley,1764.64008020876,1748.73876015081
Chelsea,1916.86841465828,1855.15033235199
CrystalPalace,1765.0576232109,1731.27657056238
Everton,1840.009655181,1750.13787036657
Leicester,1842.12991323762,1756.30423645625
Liverpool,2147.38475891536,2044.95103223664
ManchesterCity,2098.99375004769,1981.6805709458
ManchesterUnited,1922.07524754121,1862.38009445565
Newcastle,1769.26391753218,1698.59773752159
Leeds,1834.65144734593,1770
Sheffield,1759.48895984574,1684.46559702089
Southampton,1714.95612564454,1754.70563971613
Tottenham,1956.70206433695,1839.8255168916
WestBromwich,1696.65144734593,1632
WestHam,1757.95093425797,1712.77556426196
Wolverhampton,1813.26363878023,1777.94819267706
