,home,away
Alaves,1753.58739485,1655.15653265
AthMadrid,1959.74593491,1873.61754905
Barcelona,2069.45825263,1945.77103546
Betis,1763.46395489,1641.68272838
AthBilbao,1793.67224078,1739.23543124
Celta,1732.76483044,1667.89002365
Eibar,1756.75463488,1686.63330831
Cadiz,1625.19409531353,1550.19580078
Getafe,1809.90772936,1761.36318326
Leganes,1706.94934606,1672.23366142
Levante,1774.97452001,1675.23245242
Elche,1619.75830430353,1544.76000977
Osasuna,1742.80255287,1708.31716617
RealMadrid,1973.44519243,1890.53346704
Sevilla,1857.11812502,1815.49166193
Sociedad,1789.59652149,1745.71824558
Valencia,1901.52365237,1725.61384683
Huesca,1664.96753281353,1589.96923828
Villarreal,1799.86057985,1764.366218
Valladolid,1723.90492743,1645.9173347
Granada,1729.37822221,1671.17616659
