Metz,SaintEtienne,-27.52626380,0.2815103546,0.3886445479,0.3298450974
Bordeaux,Nimes,37.135584572,0.3605316240,0.3483266828,0.2911416931
Lyon,Monaco,171.64184018,0.6541784239,0.1022696234,0.2435519526
Rennes,Brest,191.07548339,0.6870238875,0.0842671788,0.2287089336
SaintEtienne,Montpellier,80.614846478,0.4474902930,0.2711599768,0.2813497301
Reims,Lorient,131.96346752,0.5713975958,0.1612834583,0.2673189458
Reims,Strasbourg,60.873752854,0.4044235277,0.3107029856,0.2848734866
Angers,Nice,0.6052643209,0.3098104778,0.3814566020,0.3087329201
Dijon,Lorient,49.930706133,0.3830545477,0.3295804616,0.2873649906
Nice,Lille,1.8276970915,0.3112229331,0.3808113672,0.3079656996
Nantes,PSG,-241.5371244,0.1650332243,0.1721184009,0.6628483747
Lille,Lyon,40.619803426,0.3664017688,0.3435915168,0.2900067143
Monaco,Bordeaux,49.003741651,0.3813332799,0.3310624334,0.2876042866
Nimes,Metz,18.666565091,0.3325591131,0.3687634328,0.2986774540
Bordeaux,Montpellier,20.969284395,0.3357705097,0.3666388011,0.2975906891
PSG,Rennes,188.13817379,0.6823675049,0.0866000881,0.2310324069
Strasbourg,Marseille,-116.1006935,0.2236077445,0.3401391064,0.4362531490
Brest,Lille,-83.67771951,0.2413459157,0.3679623236,0.3906917606
Lens,Reims,-21.14611458,0.2872938090,0.3882234858,0.3244827051
Nimes,Angers,-13.80193228,0.2943806311,0.3868958858,0.3187234830
Metz,Dijon,136.90343734,0.5827831935,0.1522152494,0.2650015570
Lorient,Nantes,-18.49437848,0.2897972546,0.3878508611,0.3223518842
Nice,Monaco,125.83812151,0.5569521500,0.1731356090,0.2699122409
Lyon,SaintEtienne,133.64947370,0.5753120821,0.1581372282,0.2665506896
Rennes,Bordeaux,122.19445480,0.5482147988,0.1804759405,0.2713092606
Monaco,PSG,-211.1155100,0.1792825618,0.2163141418,0.6044032963
Brest,SaintEtienne,10.288979226,0.3214894746,0.3755093516,0.3030011737
Nantes,Metz,28.777512357,0.3472333121,0.3585430221,0.2942236657
Dijon,Lens,35.596141040,0.3579998625,0.3503296366,0.2916705008
Montpellier,Strasbourg,144.76788567,0.6003396970,0.1387583395,0.2609019634
Angers,Lyon,-103.5831802,0.2301530759,0.3520408647,0.4178060593
Reims,Nimes,75.992516209,0.4369418740,0.2809326034,0.2821255225
Lille,Lorient,239.91175876,0.7513384211,0.0598380103,0.1888235685
Lens,Nantes,15.622111133,0.3284269435,0.3713918485,0.3001812079
Marseille,Nantes,95.520788046,0.4829289922,0.2384067242,0.2786642835
Strasbourg,Rennes,-68.62984536,0.2506372109,0.3772966373,0.3720661517
Lyon,Reims,124.57940373,0.5539447022,0.1756483139,0.2704069838
PSG,Bordeaux,273.76206408,0.7850804445,0.0525483558,0.1623711996
Lorient,Montpellier,-50.97691024,0.2627387459,0.3849176452,0.3523436088
Monaco,Nimes,100.31322851,0.4946344808,0.2277131929,0.2776523262
Metz,Brest,89.580986284,0.4685918048,0.2516117301,0.2797964650
Lens,Angers,-4.600534881,0.3039835774,0.3838749615,0.3121414610
Nice,Dijon,202.62252344,0.7043521812,0.0762493687,0.2193984500
